partial,f,sigma,r2,fittedFrameCount
1,55.1788,0.281531,0.78115,1272
2,110.358,0.314673,0.949538,1267
3,164.191,0.239054,0.829757,1272
4,219.37,0.286001,0.932333,1266
5,274.548,0.218028,0.822805,1274
6,329.727,0.19815,0.713581,1273
7,384.906,0.314441,0.828052,1272
10,550.443,0.197096,0.738082,1272
11,605.621,0.168324,0.630953,1273
12,660.8,0.227771,0.79712,1273
13,715.979,0.286895,0.799053,1268
14,771.158,0.200995,0.725892,1272
15,827.682,0.216471,0.76485,1262
16,882.861,0.203279,0.820334,1277
17,938.04,0.230552,0.7339,1273
18,994.565,0.298885,0.899674,1266
19,1051.09,0.214765,0.804372,1216
31,1796.68,0.487856,0.99836,1198
32,1857.24,0.48023,0.961008,971
35,2036.23,0.460952,0.971945,1147
36,2096.8,0.523408,0.975971,888
37,2157.36,0.472732,0.937529,1020
49,2588.02,0.746511,0.992281,653
50,2649.93,0.754431,0.936254,521
51,2874.68,1.21782,0.958915,326
