partial,f,sigma,r2,fittedFrameCount
1,52.4872,0.18853,0.629896,1275
2,103.629,0.212028,0.91784,1273
3,154.77,0.16052,0.666957,1277
4,207.257,0.173095,0.753067,1274
8,414.514,0.129749,0.679754,1278
10,519.489,0.18379,0.711044,1270
11,570.63,0.161066,0.70871,1271
12,623.117,0.192996,0.804669,1272
13,675.604,0.284499,0.78594,1270
14,728.091,0.215066,0.66238,1254
15,780.579,0.230042,0.797497,1268
16,833.066,0.233115,0.79639,1273
17,886.899,0.202232,0.650105,1271
18,939.386,0.236721,0.878754,1269
19,991.873,0.315402,0.85979,1187
20,1047.05,0.224223,0.802287,1081
21,1102.23,0.266278,0.839593,1264
32,1754.96,0.46903,0.963808,1097
33,1811.48,0.408187,0.91971,1278
34,1868.01,0.452945,0.957504,1273
35,1925.88,0.477801,0.959672,1188
36,1981.05,0.498179,0.979918,1120
37,2037.58,0.477968,0.990929,1222
38,2098.14,0.539776,0.962445,1009
43,2444.02,0.640409,0.965556,774
44,2505.93,0.707254,0.978064,776
45,2565.14,0.740504,0.964852,645
46,2629.74,0.767178,0.923191,597
53,2932.55,0.988138,0.929548,426
58,2999.84,1.08957,0.96967,421
59,3601.43,2.00394,0.819524,420
68,3715.82,2.31588,0.938189,480
70,3773.69,1.83552,0.904859,576
71,4186.86,1.62191,0.77048,575
