partial,f,sigma,r2,fittedFrameCount
1,174.957,0.250416,0.803006,1012
2,348.569,0.291622,0.803925,1011
4,698.483,0.30205,0.851864,1011
6,1049.74,0.364351,0.877508,996
7,1227.39,0.362991,0.903766,1000
8,1403.7,0.363344,0.830793,978
9,1581.34,0.365075,0.850541,1004
10,1760.34,0.434429,0.934245,989
11,1940.68,0.56061,0.902743,755
12,2121.02,0.53533,0.919099,880
13,2304.05,0.588381,0.925048,917
14,2489.78,0.709447,0.9041,736
17,2670.12,0.546328,0.881007,830
18,2855.84,0.726032,0.920916,570
19,3231.33,0.883726,0.936033,746
21,3421.09,1.2483,0.967077,542
22,3613.54,1.03882,0.928307,611
23,4807.29,1.91849,0.932891,321
30,5013.2,2.17287,0.944363,289
31,5433.1,3.62512,0.915267,266
33,6081.78,3.55684,0.879315,222
36,6525.91,5.0564,0.910505,199
38,6752,4.43475,0.899182,268
39,7454.53,6.30191,0.90688,171
42,7933.64,5.89501,0.91707,201
44,8932.24,2.48481,0.624261,321
