b: -13.9136, k: 0.0964881, n: 44, r2: 0.978451midi: 21, accurateB[midi]: 6.87669e-06
r2: 0.841597, a: 0.000839864, b: -0.00704851, c: 0.74194, n: 7
r2: 0.730765, a: 0.0167589, b: -0.103913, c: 0.50521, n: 7
r2: 0.792249, a: 0.000397848, b: -0.00360043, c: 0.43319, n: 8
r2: 0.674653, a: 0.000225881, b: -0.00218775, c: 0.369733, n: 8
r2: 0.828794, a: 0.00130816, b: -0.00991031, c: 0.407968, n: 9
r2: 0.719011, a: 2.77309e-05, b: -0.000338481, c: 0.363884, n: 9
r2: 0.696378, a: 0.000432582, b: -0.00375548, c: 0.289494, n: 10
r2: 0.932496, a: 0.000505199, b: 0.0341535, c: 0.294346, n: 10
r2: 0.781587, a: 0.000170963, b: 0.00268077, c: 0.525017, n: 11
r2: 0.598602, a: 0.00877207, b: -0.0880265, c: 0.888701, n: 12
r2: 0.905092, a: 0.00530365, b: -0.0398318, c: 0.72032, n: 12
r2: 0.703191, a: -6.26454e-05, b: 0.0386607, c: 0.627317, n: 13
r2: 0.710778, a: -0.0017455, b: 0.0584114, c: 0.856519, n: 14
r2: 0.79946, a: 0.00299571, b: -0.00555117, c: 1.45733, n: 15
r2: 0.838689, a: 0.00873248, b: -0.0945727, c: 1.64619, n: 16
r2: 0.966038, a: 0.0021834, b: -0.000628879, c: 1.17528, n: 17
r2: 0.666068, a: 0.00657648, b: -0.091297, c: 2.03604, n: 18
r2: 0.889722, a: 0.00169997, b: 0.0682128, c: 1.18104, n: 19
r2: 0.930781, a: 0.00182389, b: 0.0596403, c: 1.12997, n: 20
r2: 0.730528, a: 0.00137592, b: 0.0183103, c: 1.73734, n: 21
r2: 0.837861, a: 0.00232507, b: 0.0259511, c: 1.39311, n: 22
r2: 0.937013, a: 0.00220308, b: 0.0380306, c: 1.25177, n: 24
r2: 0.913698, a: 0.00177396, b: 0.0366241, c: 1.55162, n: 25
r2: 0.88138, a: 0.000963186, b: 0.0362638, c: 1.82587, n: 27
r2: 0.883249, a: -0.00248238, b: 0.166919, c: 0.745332, n: 28
r2: 0.96627, a: -0.00351996, b: 0.200735, c: 0.646252, n: 30
r2: 0.964809, a: -0.00225755, b: 0.152759, c: 0.775125, n: 32
r2: 0.953203, a: -0.00280265, b: 0.184635, c: 0.769271, n: 34
r2: 0.978866, a: -0.0031949, b: 0.191071, c: 1.08758, n: 36
r2: 0.939674, a: -0.00321806, b: 0.190138, c: 1.02358, n: 38
r2: 0.97081, a: -0.00301574, b: 0.194388, c: 1.04112, n: 40
r2: 0.923058, a: -0.00258776, b: 0.161411, c: 1.39192, n: 43
r2: 0.902595, a: -0.00162848, b: 0.132046, c: 1.65393, n: 45
r2: 0.926154, a: -0.00194949, b: 0.132377, c: 1.49532, n: 48
r2: 0.961731, a: -0.00169484, b: 0.148088, c: 1.55497, n: 51
r2: 0.90664, a: -0.00130397, b: 0.112381, c: 2.08825, n: 54
r2: 0.793296, a: -0.00134281, b: 0.102007, c: 2.17711, n: 57
r2: 0.813575, a: -0.00108772, b: 0.0919178, c: 2.20889, n: 61
r2: 0.900706, a: -0.00140497, b: 0.137249, c: 2.2547, n: 64
r2: 0.85573, a: -0.00161353, b: 0.147182, c: 2.37759, n: 68
r2: 0.698827, a: -0.00095187, b: 0.0879723, c: 3.15992, n: 72
r2: 0.659523, a: -0.00092977, b: 0.0839801, c: 3.33337, n: 70
r2: 0.867099, a: -0.00153745, b: 0.137166, c: 3.16097, n: 66
r2: 0.641303, a: -0.00112462, b: 0.0905314, c: 3.79524, n: 63
r2: 0.859014, a: -0.00184815, b: 0.145728, c: 3.42782, n: 59
r2: 0.900938, a: -0.00224979, b: 0.175149, c: 3.01474, n: 56
r2: 0.659173, a: -0.00182022, b: 0.127062, c: 3.50153, n: 53
r2: 0.699468, a: -0.00238831, b: 0.153068, c: 3.83169, n: 50
r2: 0.880658, a: -0.00153782, b: 0.102579, c: 3.10522, n: 47
r2: 0.736965, a: -0.00187258, b: 0.110232, c: 3.50977, n: 44
r2: 0.629882, a: -0.00239866, b: 0.12889, c: 3.29865, n: 42
r2: 0.594003, a: -0.0036758, b: 0.182466, c: 3.98778, n: 39
r2: 0.492299, a: -0.00157186, b: 0.0738131, c: 4.24693, n: 37
r2: 0.69678, a: -0.00298618, b: 0.137993, c: 4.05956, n: 35
r2: 0.489816, a: -0.00167135, b: 0.0706261, c: 3.84835, n: 33
r2: 0.0485605, a: -0.000801011, b: 0.0275237, c: 4.86936, n: 31
r2: 0.155722, a: -0.00184295, b: 0.041575, c: 5.20337, n: 29
r2: 0.820445, a: -0.00752278, b: 0.285607, c: 3.64068, n: 28
r2: 0.0578643, a: -0.000701899, b: 0.0224608, c: 4.23547, n: 26
r2: 0.25839, a: -0.0016537, b: 0.0709622, c: 4.99559, n: 25
r2: 0.765839, a: -0.0172386, b: 0.50162, c: 2.77722, n: 23
r2: 0.484545, a: -0.00411653, b: 0.145137, c: 5.47927, n: 22
r2: 0.933324, a: -0.0193255, b: 0.579119, c: 2.36642, n: 21
r2: 0.613753, a: -0.0170093, b: 0.579309, c: 5.46619, n: 19
r2: 0.403642, a: -0.00258473, b: 0.106829, c: 7.74933, n: 18
r2: 0.036125, a: -0.00163748, b: 0.0481713, c: 8.32339, n: 17
r2: 0.443488, a: -0.0111822, b: 0.420061, c: 6.71471, n: 16
r2: 0.555745, a: -0.0438976, b: 0.887778, c: 5.58897, n: 15
r2: 0.48834, a: -0.00504414, b: 0.112786, c: 8.10654, n: 14
r2: 0.442373, a: -0.0194588, b: 0.346667, c: 8.59809, n: 14
r2: 0.707859, a: -0.0315022, b: 0.557637, c: 9.44504, n: 13
r2: 0.319009, a: -0.006296, b: 0.132196, c: 10.6437, n: 12
r2: 0.784422, a: -0.109296, b: 1.6718, c: 3.87772, n: 11
r2: 0.183392, a: -0.0164087, b: 0.286607, c: 9.36501, n: 11
r2: 0.744149, a: -0.225496, b: 3.09048, c: 2.49796, n: 10
r2: 0.926585, a: -0.300102, b: 4.46368, c: -0.297974, n: 9
r2: 0.354715, a: -0.193954, b: 2.00892, c: 5.59655, n: 9
r2: 0.871293, a: -0.10377, b: 1.19316, c: 4.26826, n: 8
r2: 0.560351, a: -0.231044, b: 2.17584, c: 3.71048, n: 8
r2: 0.663161, a: -0.213757, b: 2.03066, c: 5.79332, n: 7
r2: 0.435292, a: -0.302343, b: 2.32382, c: 3.23109, n: 7
r2: 0.166553, a: -0.161761, b: 1.13345, c: 3.9676, n: 7
r2: 0.525047, a: -0.198177, b: 1.65256, c: 6.58921, n: 6
r2: 0.353991, a: -0.0103532, b: 0.245277, c: 9.63382, n: 6
r2: 0.905034, a: -0.621997, b: 4.68464, c: 7.95296, n: 5
r2: 0.911502, a: 0.00620229, b: -0.0518092, c: 9.02553, n: 5
