partial,f,sigma,count,meanR2,meanFittedFrameCount
1,219.37,0.236309,5,0.845957,1244.2
2,440.085,0.374956,4,0.757749,1098.75
3,660.8,0.301352,5,0.867645,1262.8
4,881.516,0.383444,4,0.828085,1118.75
5,1102.23,0.195767,5,0.663769,1258
6,1325.64,0.27274,4,0.813077,1186.5
7,1549.04,0.458493,4,0.761478,1005.5
8,1779.18,0.435877,4,0.951806,1073.25
14,2927.17,0.460026,5,0.83082,791
15,3164.04,0.500056,5,0.892568,1047.2
16,3992.53,0.690824,5,0.90142,790.2
17,3645.84,0.746041,1,0.82341,633
18,4139.76,0.725466,1,0.814625,601
21,5434.44,1.49645,5,0.8777,367
26,5703.61,1.82308,5,0.873309,412.6
27,6255.4,2.33458,4,0.875628,291.75
28,6824.68,2.53596,4,0.836483,382.25
30,7412.81,4.8278,3,0.888364,174
32,8019.77,4.42157,3,0.790123,232.333
34,8332,6.33933,2,0.90821,170
35,8972.62,4.97928,2,0.802421,214
37,9298.98,6.21086,2,0.844291,173
38,9629.38,7.13208,1,0.878913,159
39,9968.53,4.14249,1,0.700769,217
40,12105.7,2.6384,1,0.571414,238
