partial,f,sigma,count,meanR2,meanFittedFrameCount
1,28.2623,0.208067,5,0.972978,1706.8
2,57.8705,0.218152,5,0.978009,1700
3,86.1328,0.174914,5,0.957432,1702.6
4,115.741,0.154019,5,0.933067,1704.4
5,145.349,0.159541,5,0.941113,1705.4
6,173.611,0.119877,5,0.77191,1706
7,203.22,0.100546,5,0.657211,1705.2
8,232.828,0.106152,5,0.854862,1653.8
9,261.09,0.107393,5,0.712893,1706
10,290.698,0.153667,5,0.927376,1704.8
11,320.306,0.108856,5,0.691336,1705.8
12,349.915,0.128694,5,0.828776,1697.4
13,380.869,0.162255,5,0.945085,1703.4
14,410.477,0.126694,5,0.783905,1703
15,440.085,0.176734,5,0.945747,1702.8
16,468.885,0.166775,5,0.911483,1685.6
17,501.993,0.163106,5,0.91832,1702.6
18,532.947,0.204245,5,0.972107,1699.4
19,563.901,0.180525,5,0.935912,1699
20,594.855,0.220515,5,0.979424,1698.8
21,625.809,0.197614,5,0.881515,1697.2
22,658.109,0.230179,5,0.971667,1694.4
23,690.408,0.221967,5,0.96138,1693.4
24,721.362,0.227703,5,0.973385,1697.8
25,753.662,0.245013,5,0.980857,1691.4
26,787.308,0.26175,5,0.988996,1690.6
27,820.953,0.280612,5,0.990678,1682.2
28,854.599,0.294985,5,0.9862,1676.2
29,887.975,0.341175,5,0.99323,1609.6
30,921.89,0.329357,5,0.993523,1633.6
31,956.882,0.350698,5,0.998013,1584.8
32,990.527,0.412425,5,0.990881,1312
34,1038.98,0.476608,1,0.949049,959
36,1126.46,0.628906,2,0.974172,825
37,1137.22,0.552966,2,0.992256,969.5
38,1172.21,0.544113,5,0.986001,1025.6
39,1207.21,0.565108,5,0.985417,937.4
40,1244.89,0.621222,5,0.986207,887.6
41,1282.57,0.66526,5,0.988677,877
42,1320.52,0.735877,5,0.970194,712.2
43,1359.28,0.980015,5,0.946856,552.6
44,1398.31,0.834567,5,0.951199,637.4
45,1437.34,0.860319,5,0.990285,656.4
46,1477.72,0.916894,5,0.999628,641.4
47,1518.09,0.947923,5,0.98303,599
48,1559.81,0.940615,5,0.979803,599.8
49,1600.99,1.17024,5,0.994771,518.4
50,1640.56,1.21998,2,0.992759,462.5
51,1674.21,1.18882,3,0.984281,502
52,1707.85,1.22268,3,0.994062,464.333
53,1741.5,1.24382,3,0.98432,459.333
54,1776.49,1.27151,2,0.966869,462
55,1816.86,1.40385,5,0.973675,369.8
56,1859.39,1.3656,5,0.985674,407.4
57,1904.34,1.52178,5,0.974226,334.8
58,1950.1,1.5207,5,0.986278,358.2
59,1995.19,1.59091,4,0.952158,322.5
60,2042.96,1.55749,3,0.954988,368.667
61,2088.72,1.75111,4,0.977308,291
62,2135.82,1.91111,5,0.986001,282.4
65,2266.37,1.74681,2,0.995169,332.5
66,2304.05,1.50233,2,0.970315,386
67,2340.39,1.64951,2,0.995806,330.5
68,2382.11,2.26835,4,0.986048,242.25
69,2434.6,1.97463,2,0.9888,286
70,2485.74,2.35043,2,0.990271,253
71,2535.53,2.23494,2,0.975659,229.5
72,2588.02,2.56639,4,0.999569,221.25
73,2643.2,2.69154,3,0.993808,219.667
74,2694.34,2.62278,3,0.997297,214
76,2793.93,2.62358,4,0.96707,207.75
77,2837,1.83279,1,0.997377,299
78,2876.03,1.86227,1,0.997484,284
80,2971.58,3.25142,2,0.979671,160
81,2588.02,1.49983,1,0.853971,373
82,2793.93,0.49331,1,0.615259,661
86,3030.8,0.650637,5,0.709828,1219
91,3084.63,0.648725,4,0.73737,1176.75
92,3262.95,0.584932,4,0.72484,1163.75
96,3477.95,0.524011,4,0.724342,1207
