partial,f,sigma,count,meanR2,meanFittedFrameCount
1,68.6371,0.243095,5,0.890167,1633.4
2,138.62,0.274809,4,0.884412,1570.25
3,207.257,0.202148,5,0.850582,1690
4,277.24,0.242216,5,0.881552,1577.2
5,345.877,0.17542,5,0.751455,1695.8
6,415.86,0.245885,5,0.93129,1691.2
7,484.497,0.387491,3,0.904776,1094.67
8,554.48,0.252114,5,0.849767,1607.6
9,624.463,0.237052,2,0.819042,1681.5
10,693.1,0.172338,5,0.755927,1690.4
11,763.083,0.1935,5,0.85034,1686.2
12,833.066,0.220068,2,0.786234,1692
13,903.049,0.339949,5,0.805361,1271
14,973.032,0.182124,5,0.704392,1687.4
15,1044.36,0.233715,5,0.731559,1553.8
16,1114.34,0.203579,5,0.746434,1671.8
17,1185.67,0.191926,5,0.845085,1687.2
18,1255.65,0.680642,4,0.808408,1142
19,1328.33,0.337627,5,0.751026,1046.6
20,1401,0.232117,3,0.752548,1435
26,1873.39,2.22009,3,0.99789,233.667
27,1947.41,2.01497,3,0.998665,283.667
28,2017.39,2.33509,2,0.99866,247
29,2087.38,2.78222,2,0.995904,202
34,2499.2,0.557895,4,0.926148,811.5
35,2575.91,0.594762,5,0.90901,783.4
36,2652.62,0.48202,4,0.89431,952.25
37,2727.99,0.601162,5,0.949511,893
38,2806.05,0.572179,4,0.904044,779
43,3068.03,0.6496,3,0.926729,865.667
44,3198.13,0.848174,3,0.851632,936.333
49,3277.08,0.830689,5,0.889289,928
50,3933.85,1.0372,4,0.934248,696.75
58,4017.29,1.16844,4,0.847406,723.5
59,4724.74,1.80823,3,0.930909,423.667
61,5628.24,2.76532,3,0.915178,278.667
77,7501.63,3.27046,2,0.905062,264.5
94,7784.25,2.14049,1,0.73524,401
