partial,f,sigma,count,meanR2,meanFittedFrameCount
1,72.6746,0.214289,5,0.925134,1689.8
2,146.695,0.329757,5,0.90101,1492.6
3,219.37,0.223423,5,0.804055,1689.4
4,293.39,0.276594,5,0.969155,1576.4
5,366.064,0.253904,5,0.88338,1570.2
6,440.085,0.208383,5,0.799907,1620.2
7,514.105,0.263463,5,0.735161,1572
8,586.78,0.211321,5,0.874826,1650
9,660.8,0.205666,5,0.776022,1676.4
10,734.821,0.272576,5,0.846384,1458.6
11,808.841,0.18732,5,0.761306,1694.8
12,882.861,0.174035,4,0.706201,1690
13,956.882,0.158438,5,0.676892,1690.8
14,1032.25,0.188679,5,0.654251,1691.8
15,1106.27,0.199014,4,0.771585,1694
16,1181.63,0.27694,5,0.85001,1443
17,1255.65,0.261266,5,0.887733,1554.2
18,1331.02,0.558856,3,0.781116,997.333
19,1407.73,0.246229,5,0.772299,1436
20,1485.79,0.207801,2,0.760529,1645
27,2063.15,2.36303,2,0.998373,230.5
28,2138.52,2.35816,2,0.997433,223
29,2212.54,2.35151,1,0.995949,223
30,2287.9,2.79114,1,0.985174,172
35,2733.37,0.623874,4,0.922103,796
36,2815.47,0.579215,4,0.932136,807.75
37,2896.22,0.567802,4,0.943042,886.25
38,2978.65,0.611515,4,0.938083,828
39,2978.98,0.630085,2,0.925104,920.5
43,3034.39,0.656326,3,0.935374,874.667
44,3060.41,0.859306,2,0.890202,932
45,3398.21,0.920056,4,0.901763,868.25
48,3567.78,0.920928,3,0.862337,833
49,3653.92,0.753748,1,0.813369,1222
52,4069.44,1.28276,4,0.887164,634.5
53,5005.12,1.60122,3,0.91714,369
56,5005.12,1.07,1,0.689754,824
67,5205.2,1.7977,3,0.88624,429.667
69,6002.38,2.4996,3,0.834495,334.333
77,6105.56,2.33093,3,0.810335,461.667
78,8007.66,3.25983,2,0.884865,262
94,8188,1.81877,1,0.677216,419
