partial,f,sigma,count,meanR2,meanFittedFrameCount
1,370.102,0.589937,5,0.828225,740.4
2,740.204,0.50825,5,0.905049,780.2
3,1111.65,0.358453,2,0.75639,822.5
4,1485.79,0.511913,4,0.899092,758.25
5,1862.62,0.409825,5,0.755884,809.8
6,2243.49,0.392005,5,0.799011,789.6
7,2627.05,0.551179,5,0.909493,723.2
8,3015.99,0.612576,1,0.89804,851
9,3015.99,0.58403,4,0.879838,852.5
10,3410.32,0.863028,5,0.851602,591.4
11,4217.82,1.35378,5,0.916837,435.6
13,4630.98,2.19965,5,0.910555,297.8
14,5052.23,3.08194,4,0.886558,219
16,5482.89,3.19669,4,0.882781,221.25
17,6381.45,3.98274,3,0.86174,221.333
18,7298.41,7.4492,2,0.875726,121.5
21,7776.18,6.62547,2,0.860997,171
22,8266.73,6.17528,2,0.797711,193
24,9281.48,6.15927,2,0.739275,192
26,9808.37,4.26688,1,0.661541,191
