partial,f,sigma,count,meanR2,meanFittedFrameCount
1,103.629,0.175765,5,0.79864,1691
2,207.257,0.350299,5,0.919458,1410.8
3,310.886,0.227333,5,0.872856,1603.6
4,414.514,0.3314,5,0.914995,1448
5,519.489,0.239191,5,0.906649,1626.6
6,623.117,0.252289,5,0.908034,1585.8
7,727.643,0.252755,3,0.852049,1679
8,831.72,0.164028,4,0.698185,1692.25
9,936.694,0.209898,5,0.911325,1651.4
10,1041.67,0.374257,3,0.775296,1352
11,1146.64,0.285048,5,0.724927,1486.4
12,1251.62,0.521232,4,0.91839,820.75
13,1357.94,0.431697,3,0.796806,1073.33
14,1464.26,0.198269,4,0.879565,1663.75
15,1570.58,0.359227,5,0.862157,1080.6
16,1676.9,0.345456,5,0.911458,1177.4
17,1784.56,0.837254,3,0.746707,1021.67
18,1892.23,0.274296,5,0.760038,1304.4
19,2001.24,0.204181,5,0.787737,1586.6
20,2109.45,0.422651,5,0.860595,1058.4
21,2218.46,0.387253,5,0.906511,1247
22,2328.28,0.328788,5,0.761027,1392.4
23,2438.64,0.199725,5,0.759896,1572.2
24,2550.34,0.313389,4,0.768171,1100.75
25,2662.04,0.32359,5,0.841226,1251.8
26,2776.44,0.467022,3,0.781446,767.333
28,3001.86,0.367391,4,0.848747,1247
31,3229.98,0.363965,3,0.769848,1219
35,3345.72,0.47835,5,0.885836,1209.6
36,4057.66,0.756974,5,0.898981,847.6
43,4178.79,0.700597,5,0.88543,857
44,4930.03,1.28749,5,0.915251,536.8
50,5188.43,1.22998,5,0.879113,572.2
53,5319.71,1.43244,4,0.895546,537.5
54,6266.16,1.97859,3,0.918335,369.333
61,6793.73,4.77382,2,0.896206,209
63,6575.7,3.5023,1,0.900728,277
64,7127.49,2.69105,1,0.870983,221
68,7272.84,2.5962,2,0.784608,446
69,7420.88,4.48469,1,0.938109,227
70,8358.92,4.81731,1,0.905032,219
