partial,f,sigma,r2,fittedFrameCount
1,123.816,0.682052,0.98952,744
2,246.286,0.320286,0.851888,1582
3,370.102,0.553108,0.954141,903
4,493.918,0.406886,0.942915,1260
5,617.734,0.259602,0.767641,1678
6,741.55,0.421052,0.947075,1235
7,865.366,0.295619,0.735811,1573
8,990.527,0.297282,0.72437,1369
9,1114.34,0.358828,0.751487,1161
10,1239.51,1.32166,0.978023,391
11,1366.01,0.386453,0.663481,929
12,1496.56,0.93387,0.914609,549
20,2602.83,3.57574,0.999718,154
21,2730.68,3.59978,0.999407,155
23,2915.06,0.385603,0.791063,724
26,3184.22,0.361717,0.923683,1345
28,3320.15,0.375845,0.880844,1461
29,4013.25,0.586895,0.947083,1088
34,5033.39,0.992563,0.949904,632
41,5184.12,1.01154,0.918236,545
42,5957.97,1.38168,0.913817,425
46,6118.12,1.3406,0.894616,416
47,7274.19,2.20427,0.91788,268
54,7886.54,4.97141,0.820595,166
57,8332,4.80216,0.828135,157
59,8700.76,5.3274,0.915196,215
61,9259.28,6.56932,0.906921,163
63,9451.73,4.70337,0.875986,234
64,10041.2,2.94932,0.711912,297
