partial,f,sigma,r2,fittedFrameCount
1,277.24,1.00735,0.992497,527
2,554.48,0.672474,0.962159,807
3,831.72,0.571464,0.85801,820
4,1111.65,0.788418,0.847522,582
5,1391.58,0.522324,0.794878,772
6,1672.86,0.529833,0.774426,630
7,1956.83,0.804634,0.801038,414
8,2243.49,0.776187,0.885376,423
11,3116.93,0.627291,0.909409,850
13,3415.7,0.708935,0.875643,840
14,4332.21,1.01926,0.970189,619
18,5289.09,1.90143,0.972046,351
21,5953.93,2.58338,0.948648,244
23,6297.12,2.95076,0.932564,218
24,7352.24,4.96032,0.899616,134
27,8860.91,10.0778,0.949534,113
31,10068.1,7.92119,0.848157,138
34,10485.3,5.66288,0.727664,164
