partial,f,sigma,r2,fittedFrameCount
1,36.3373,0.167282,0.952509,1709
2,72.6746,0.16488,0.937795,1702
3,109.012,0.126792,0.832383,1705
4,146.695,0.140768,0.91434,1705
5,183.032,0.127678,0.832407,1705
6,219.37,0.109436,0.742999,1706
7,255.707,0.130308,0.884911,1705
8,292.044,0.137901,0.927496,1709
9,329.727,0.100197,0.656174,1705
10,366.064,0.105631,0.675857,1704
11,403.748,0.112187,0.763737,1704
12,440.085,0.134425,0.802466,1703
13,477.768,0.190963,0.948551,1702
14,515.451,0.172441,0.936743,1700
15,551.788,0.172514,0.923791,1703
16,589.471,0.175392,0.933394,1702
17,627.155,0.198682,0.945849,1697
18,664.838,0.205212,0.948743,1695
19,702.521,0.210993,0.947418,1691
20,740.204,0.192916,0.93631,1698
21,777.887,0.223773,0.978587,1696
22,816.916,0.224417,0.977512,1696
23,854.599,0.229185,0.951687,1693
24,893.628,0.27885,0.989173,1698
25,934.003,0.297479,0.992626,1696
26,974.377,0.323518,0.995525,1660
27,1028.21,1.21715,0.914925,340
28,1073.97,0.398044,0.956932,1261
29,1110.31,0.367174,0.961288,1385
30,1157.41,0.560298,0.96895,845
31,1193.75,0.669493,0.935434,753
33,1287.95,0.50102,0.990895,1110
34,1331.02,0.493371,0.971641,1079
35,1371.4,0.628975,0.948148,1007
36,1413.12,0.546031,0.977792,984
37,1454.84,0.579281,0.987925,1019
38,1496.56,0.564345,0.991362,992
39,1543.66,3.30338,0.962772,186
40,1581.34,0.648946,0.985036,837
41,1624.41,0.664784,0.984508,861
42,1667.48,0.676455,0.987774,837
43,1710.54,0.717403,0.975914,773
44,1753.61,0.782072,0.964568,721
45,1799.37,0.790185,0.970353,718
50,2057.77,2.6692,0.974769,225
51,2112.95,1.01278,0.990425,576
52,2161.4,1.13585,0.986484,498
53,2207.15,1.03255,0.99271,534
54,2254.26,1.18089,0.959322,437
55,2301.36,1.15202,0.97354,479
56,2349.81,1.10091,0.993076,500
57,2398.26,1.19511,0.981434,477
58,2448.06,1.20852,0.987963,458
60,2570.53,1.43629,0.99018,395
63,2746.83,1.34219,0.992302,415
64,2785.86,1.19938,0.999403,471
65,2850.46,1.50576,0.990882,373
66,2902.94,1.42802,0.973221,360
67,2955.43,1.89657,0.997084,315
69,3084.63,1.94198,0.996826,429
79,3170.76,2.02673,0.982625,389
80,3505.87,1.75097,0.919366,546
86,4625.6,2.48176,0.985949,311
