partial,f,sigma,r2,fittedFrameCount
1,154.77,0.18638,0.869005,1271
2,310.886,0.271727,0.789295,1270
3,467.001,0.259126,0.884026,1257
4,621.771,0.298641,0.911098,1271
5,777.887,0.222365,0.854864,1269
6,935.349,0.230083,0.810412,1267
7,1091.46,0.238676,0.811619,1264
8,1248.93,0.224171,0.904459,1268
10,1565.19,0.194654,0.637408,1271
11,1725.35,0.212664,0.778196,1270
19,3028.11,0.290651,0.818733,1290
22,3196.33,0.320063,0.752084,1170
23,3365.91,0.518528,0.748639,738
24,3535.48,0.729261,0.918994,740
25,3707.75,0.586478,0.914375,829
26,3881.36,0.794252,0.681338,877
28,4955.33,1.02419,0.711284,477
34,5139.71,1.79627,0.876737,584
35,5326.78,1.38751,0.8163,729
