partial,f,sigma,r2,fittedFrameCount
1,48.4497,0.155096,0.803303,1704
2,98.2452,0.198826,0.704243,1698
3,146.695,0.182042,0.907152,1703
4,195.145,0.15617,0.80189,1703
5,244.94,0.186817,0.932281,1699
6,293.39,0.203601,0.942743,1699
8,391.635,0.196637,0.927666,1702
9,440.085,0.194513,0.858199,1701
11,539.676,0.173067,0.64585,1698
12,588.126,0.267535,0.8926,1696
13,637.921,0.174721,0.734914,1695
15,737.512,0.157721,0.66631,1701
16,787.308,0.147876,0.682704,1699
17,837.103,0.139892,0.687388,1702
18,886.899,0.206778,0.892408,1691
19,936.694,0.224082,0.938534,1690
20,987.836,0.188187,0.658041,1536
21,1038.98,0.198708,0.828185,1696
22,1091.46,0.198179,0.701104,1696
33,1713.24,0.437703,0.881894,1019
34,1765.72,0.446702,0.930887,1183
35,1819.56,0.460863,0.945749,1065
36,1874.73,0.538894,0.926357,1110
37,1928.57,0.546785,0.858176,734
38,1983.75,0.484917,0.921351,1053
54,2688.96,1.04148,0.9552,396
57,2781.82,1.13129,0.939261,370
58,3361.87,0.904213,0.792314,950
68,4033.44,0.6946,0.70237,963
