partial,f,sigma,r2,fittedFrameCount
1,174.957,0.171655,0.838923,1272
2,348.569,0.225461,0.894764,1269
3,523.526,0.220329,0.911303,1267
4,698.483,0.142831,0.744012,1274
5,874.786,0.304233,0.870454,1264
6,1049.74,0.287245,0.831126,1264
8,1403.7,0.265724,0.805212,1264
9,1581.34,0.20763,0.653346,1268
10,1760.34,0.279249,0.903941,1262
11,1939.33,0.240766,0.767921,1257
12,2121.02,0.289632,0.866468,1265
13,2304.05,0.345892,0.816922,1108
17,2670.12,0.254559,0.784235,1252
18,2855.84,0.485025,0.93189,828
19,3231.33,0.386907,0.777171,996
21,3422.43,0.649952,0.808974,679
22,3613.54,0.476161,0.806793,927
23,4201.67,0.625273,0.873744,725
27,5013.2,1.38776,0.696982,380
31,5862.41,2.13757,0.679317,281
35,6080.44,2.76011,0.891544,399
