partial,f,sigma,r2,fittedFrameCount
1,184.378,0.242793,0.948565,1267
2,370.102,0.253937,0.907081,1269
3,554.48,0.255583,0.801486,1270
4,740.204,0.255395,0.886821,1266
5,925.928,0.19899,0.798749,1267
6,1113,0.275291,0.882291,1253
7,1300.07,0.253256,0.727674,1261
8,1488.48,0.1943,0.893792,1270
9,1676.9,0.277262,0.944943,1263
10,1866.66,0.351597,0.865328,1240
11,2057.77,0.277742,0.929508,1263
13,2444.02,0.411164,0.826292,949
14,2639.16,0.290833,0.82557,1110
16,3033.49,0.348967,0.853175,1285
19,3845.02,0.542722,0.748544,763
23,4053.63,0.596449,0.865579,805
25,4263.57,1.35896,0.898126,673
26,4476.21,1.39275,0.905955,797
27,5349.66,2.26984,0.885816,433
31,5575.75,1.83872,0.881785,541
32,6268.85,2.8739,0.901467,355
