partial,f,sigma,r2,fittedFrameCount
1,103.629,0.161933,0.901862,1698
2,207.257,0.289738,0.906216,1692
3,310.886,0.162567,0.900146,1696
4,414.514,0.257217,0.895803,1697
5,519.489,0.175931,0.897676,1700
6,623.117,0.184017,0.93301,1697
8,831.72,0.127042,0.680461,1701
9,936.694,0.190614,0.928756,1691
11,1146.64,0.166278,0.712742,1697
12,1251.62,0.421576,0.93104,912
14,1464.26,0.196642,0.919905,1690
15,1570.58,0.344721,0.967158,1289
16,1676.9,0.330927,0.965706,1266
17,1784.56,0.176015,0.645859,1691
18,1892.23,0.216225,0.844797,1685
19,2001.24,0.146289,0.703289,1699
20,2108.91,0.405801,0.88384,1067
21,2219.27,0.31164,0.928939,1573
22,2328.28,0.196791,0.833128,1684
23,2438.64,0.183369,0.845174,1688
24,2550.34,0.265741,0.875359,1659
25,2662.04,0.265725,0.83397,1454
28,2773.75,0.426069,0.854686,947
31,3229.98,0.353689,0.806331,1252
35,3345.72,0.408636,0.875588,1116
36,4057.66,0.738994,0.885094,688
43,4178.79,0.644766,0.808881,675
44,4929.76,1.19441,0.85864,425
50,5188.16,1.68591,0.913149,616
53,5318.7,1.39925,0.879826,748
