partial,f,sigma,r2,fittedFrameCount
1,40.3748,0.171195,0.948541,1707
2,82.0953,0.144042,0.920314,1704
3,122.47,0.112704,0.759049,1706
4,164.191,0.125929,0.871168,1706
5,205.911,0.10212,0.694717,1706
6,246.286,0.106094,0.727907,1706
8,328.381,0.0956391,0.693707,1709
9,370.102,0.150136,0.918048,1702
10,411.823,0.133729,0.834952,1703
11,453.543,0.155666,0.890938,1704
12,495.264,0.157154,0.90833,1704
13,536.984,0.183168,0.940934,1702
14,578.705,0.185238,0.955074,1700
15,620.425,0.182099,0.911256,1707
16,662.146,0.174106,0.865221,1706
17,705.212,0.214866,0.966958,1708
18,746.933,0.18859,0.937365,1702
19,789.999,0.232425,0.98053,1700
20,833.066,0.254465,0.989565,1707
21,874.786,0.26354,0.982642,1699
22,917.853,0.29802,0.994712,1694
23,962.265,0.29872,0.993362,1697
24,1005.33,0.310083,0.94824,1707
25,1049.74,0.34441,0.984778,1541
26,1094.16,0.357763,0.993788,1541
27,1156.06,1.74881,0.989214,312
28,1196.44,0.629642,0.883865,730
29,1238.16,0.405082,0.874115,1082
30,1278.53,0.572096,0.876184,794
33,1442.72,1.20449,0.951715,432
34,1484.45,1.19469,0.915888,430
35,1524.82,0.749676,0.895649,685
36,1588.07,0.596799,0.995975,981
37,1637.87,0.646947,0.987642,884
38,1687.66,0.637895,0.984352,848
39,1733.42,0.73186,0.945609,618
40,1783.22,0.794282,0.93924,672
41,1831.67,0.735076,0.976918,716
42,1880.12,0.828552,0.995874,714
43,1929.91,0.801689,0.985104,680
44,1979.71,0.875132,0.990655,679
45,2028.16,0.872619,0.968406,617
46,2079.3,0.917858,0.983008,568
47,2130.44,0.994588,0.994741,563
48,2181.58,1.02656,0.994552,562
50,2310.78,2.73119,0.990305,199
57,2713.18,1.34109,0.982071,376
58,2768.36,1.44648,0.979515,381
59,2826.23,1.43632,0.980495,390
60,2888.14,2.52771,0.972875,209
61,2937.94,1.39015,0.969862,366
69,3466.85,1.82511,0.929847,533
79,4044.2,2.27397,0.954589,432
88,4955.33,1.1834,0.733646,602
