partial,f,sigma,r2,fittedFrameCount
1,26.9165,0.22702,0.981125,1701
2,55.1788,0.236307,0.983007,1700
3,82.0953,0.202875,0.970877,1700
4,109.012,0.13829,0.871069,1703
5,135.928,0.151936,0.913865,1705
6,164.191,0.136098,0.834588,1704
7,191.107,0.105061,0.687457,1705
8,219.37,0.117265,0.804846,1708
9,246.286,0.111997,0.681543,1705
10,274.548,0.122844,0.764503,1704
11,302.811,0.129677,0.806855,1705
12,331.073,0.127244,0.821522,1704
13,357.99,0.170826,0.950997,1704
14,386.252,0.181228,0.956141,1703
15,415.86,0.156604,0.914484,1703
16,444.122,0.175868,0.948009,1704
17,472.385,0.176161,0.88675,1571
18,501.993,0.183091,0.945439,1698
19,531.601,0.18964,0.940262,1700
20,559.863,0.208364,0.955031,1696
21,589.471,0.205354,0.964128,1701
22,619.08,0.231634,0.969244,1696
23,650.034,0.230157,0.965905,1696
24,679.642,0.268449,0.979148,1704
25,710.596,0.258473,0.983463,1702
26,741.55,0.250909,0.982827,1690
27,772.504,0.291299,0.992631,1687
28,803.458,0.291676,0.990527,1683
29,835.757,0.35854,0.996269,1516
30,866.711,0.369467,0.989781,1449
31,899.011,0.385489,0.989695,1375
32,931.311,0.423812,0.993927,1277
33,964.957,0.460292,0.997288,1240
34,998.602,0.475187,0.993216,1132
35,1030.9,0.470165,0.984661,1214
36,1064.55,0.504316,0.993814,1134
37,1096.85,0.535409,0.996519,1082
40,1172.21,0.628308,0.969339,850
41,1205.86,0.65667,0.983362,788
42,1240.85,0.741649,0.990307,750
43,1275.84,0.828616,0.993027,690
44,1313.53,0.837111,0.982911,651
45,1349.86,1.12205,0.968608,570
46,1387.55,1.0454,0.96322,505
47,1425.23,1.08671,0.999124,531
48,1462.91,1.21411,0.99446,485
49,1500.6,1.28686,0.993009,435
50,1540.97,1.26763,0.984149,407
51,1580,1.30386,0.992309,438
52,1620.37,1.35602,0.986038,413
53,1659.4,1.49013,0.987044,370
54,1699.78,1.44101,0.986343,382
55,1734.77,1.55452,0.997383,351
56,1775.14,1.77928,0.999634,325
60,1912.42,2.11029,0.993947,268
61,1956.83,2.18819,0.996519,256
62,1999.9,2.42421,0.999498,229
63,2044.31,1.87119,0.962201,329
64,2088.72,2.69408,0.999412,219
65,2135.82,2.63509,0.994321,209
66,2178.89,2.49244,0.99829,236
67,2227.34,2.49321,0.973032,195
68,2274.44,3.07055,0.998231,184
69,2318.86,2.86974,0.994517,204
74,2519.38,3.24586,0.996058,173
75,2567.83,3.57684,0.975492,146
76,2618.98,3.21407,0.967945,144
77,2662.04,2.15458,0.998661,250
78,2723.95,4.16373,0.997174,133
79,2772.4,2.58845,0.970809,200
80,2827.58,4.28217,0.998629,123
81,2880.07,3.96884,0.974857,122
86,2989.08,4.95712,0.996454,116
94,3155.96,1.34029,0.731043,515
