partial,f,sigma,r2,fittedFrameCount
1,57.8705,0.236248,0.86955,1648
2,117.087,0.214151,0.669593,1691
3,174.957,0.229658,0.803935,1684
4,232.828,0.174836,0.893027,1701
5,290.698,0.263726,0.845972,1694
6,348.569,0.232365,0.838998,1695
7,407.785,0.221076,0.852744,1691
8,465.656,0.280647,0.793704,1611
9,523.526,0.204194,0.852206,1698
10,582.742,0.379731,0.942226,1095
11,640.613,0.234515,0.7448,1619
12,699.829,0.170426,0.849177,1693
13,759.045,0.253289,0.911536,1693
14,816.916,0.158904,0.605304,1700
15,876.132,0.169249,0.723016,1696
16,935.349,0.171646,0.687399,1694
17,994.565,0.181833,0.752324,1697
18,1053.78,0.189912,0.762967,1691
19,1114.34,0.167556,0.687857,1696
20,1176.25,0.183554,0.755944,1696
22,1301.41,0.542074,0.920788,716
25,1514.05,2.03008,0.998058,275
26,1575.96,1.82178,0.998832,323
27,1633.83,1.6229,0.998479,354
28,1693.05,1.61894,0.999667,356
29,1752.26,1.74935,0.990974,351
30,1837.05,0.342849,0.909078,1548
31,1898.96,0.375429,0.892278,1048
32,1960.87,0.393974,0.925752,1309
33,2022.78,0.357629,0.916422,1317
34,2084.68,0.436512,0.914233,1044
35,2149.28,0.450251,0.94812,1196
36,2224.65,1.29074,0.904517,382
37,2298.67,3.74596,0.867424,137
40,2523.42,0.55698,0.901314,803
41,2593.41,0.532663,0.900925,763
42,2656.66,0.523472,0.916161,989
43,2722.6,0.610425,0.955814,912
44,2787.2,0.598901,0.964545,875
51,3116.93,0.674657,0.957762,917
56,3184.22,0.760263,0.959379,845
57,3836.95,1.3544,0.960987,578
65,4600.03,2.2226,0.937459,399
75,4980.9,1.77992,0.931277,357
80,6139.65,2.35079,0.94236,260
92,6906.77,4.32932,0.942287,253
