partial,f,sigma,r2,fittedFrameCount
1,261.09,0.580962,0.936535,820
2,523.526,0.558253,0.89614,829
3,785.962,0.384846,0.642786,838
4,1048.4,0.608691,0.923952,818
6,1578.65,0.621554,0.927774,614
7,1845.13,0.430193,0.845855,811
8,2116.98,0.493869,0.875613,803
12,3215.18,0.706779,0.908339,853
14,3499.15,0.713545,0.951961,848
15,4073.81,0.867566,0.908568,622
16,4967.44,1.51382,0.946822,390
21,5274.29,1.73698,0.937066,343
22,5585.17,2.59884,0.92283,237
23,5901.44,2.85348,0.904956,213
24,6885.24,4.02822,0.887895,155
27,7918.84,7.3658,0.917665,158
30,8275.48,7.0351,0.881458,157
