partial,f,sigma,count,meanR2,meanFittedFrameCount
1,55.1788,0.259932,5,0.820381,1272.2
2,110.358,0.251913,5,0.862767,1270.8
3,164.191,0.214423,5,0.768545,1272.6
4,219.37,0.228925,5,0.884241,1268.6
5,274.548,0.246242,5,0.781996,1273.4
6,329.727,0.198471,5,0.69146,1270.2
7,384.906,0.308249,5,0.835684,1271.8
8,440.085,0.151877,1,0.618251,1274
9,495.264,0.148537,1,0.617782,1274
10,550.443,0.211193,5,0.758575,1271.8
11,605.621,0.198996,4,0.729446,1272.5
12,660.8,0.236993,5,0.783284,1270.2
13,715.979,0.284987,5,0.802026,1266.8
14,771.158,0.219728,5,0.770091,1271
15,827.682,0.199633,5,0.689424,1263.4
16,882.861,0.221089,5,0.786557,1276.4
17,938.309,0.245091,5,0.770923,1216.4
18,994.565,0.31023,5,0.90744,1260.6
19,1051.09,0.206441,5,0.752336,1218.6
20,1110.31,0.307313,4,0.892872,1231
21,1168.18,0.285841,2,0.830562,1271.5
25,1429.27,1.17023,1,0.954309,470
26,1487.14,0.857798,3,0.964287,580.667
27,1543.66,0.648547,2,0.955866,743
28,1598.84,0.675601,2,0.970824,759.5
29,1655.36,0.629327,1,0.994599,773
30,1734.77,0.510015,2,0.95823,987
31,1796.68,0.489806,5,0.977161,1131.8
32,1856.43,0.490531,5,0.973132,1089.4
33,1914.77,0.524603,4,0.9704,939.25
34,1975.33,0.447666,4,0.987275,1227
35,2035.96,0.48203,5,0.980506,1140.8
36,2096.8,0.521645,5,0.9825,1025
37,2157.36,0.493316,5,0.968622,1092.8
40,2383.46,0.656503,2,0.990429,733
41,2441.33,0.639025,3,0.988741,838.667
42,2519.38,0.708477,4,0.959419,782.25
43,2585.33,0.705479,4,0.946322,752.75
44,2648.92,0.803596,4,0.979453,701.25
45,2710.04,0.767897,3,0.971309,732
46,2773.3,0.900298,3,0.982635,618.667
47,2843.06,0.94604,2,0.947939,526.5
49,2588.02,0.746511,1,0.992281,653
50,2649.93,0.754431,1,0.936254,521
51,2874.68,1.02399,5,0.942372,480.8
55,3593.35,1.48373,4,0.93716,489
65,4152.21,2.35849,4,0.953146,371.5
70,4312.02,2.69375,2,0.899438,368.5
75,4471.84,1.83518,4,0.851909,453
77,4952.3,2.30723,4,0.865214,330.75
82,5028,2.69127,1,0.884468,410
83,6003.73,3.2487,3,0.902134,287.667
84,6468.04,5.54041,1,0.86562,159
