partial,f,sigma,count,meanR2,meanFittedFrameCount
1,32.2998,0.227445,5,0.948872,1277
2,64.5996,0.20568,5,0.898799,1212.2
3,96.8994,0.139074,4,0.666461,1275.5
4,130.545,0.17526,5,0.843526,1275.4
5,162.845,0.156185,5,0.806515,1275.4
6,195.145,0.145079,5,0.677955,1276
7,227.444,0.173485,5,0.852723,1267.8
9,293.39,0.159795,5,0.782814,1254.4
10,326.228,0.153989,5,0.812162,1276.8
11,359.335,0.14547,5,0.681363,1274.8
13,425.281,0.142192,4,0.634675,1275.75
15,492.572,0.172091,5,0.742325,1274.6
16,526.218,0.166021,5,0.79065,1273.8
17,559.863,0.17883,5,0.723251,1272.8
18,593.509,0.195578,5,0.823313,1272.2
19,627.155,0.166001,5,0.719645,1273.6
20,660.8,0.190402,5,0.787863,1271.6
21,695.792,0.198951,5,0.852844,1271.6
22,729.706,0.207651,5,0.862034,1272
23,764.429,0.210194,5,0.836316,1269.2
24,803.188,0.299126,5,0.904803,1205
25,834.412,0.232876,4,0.812856,1270
26,869.403,0.259677,5,0.935378,1270.8
27,904.933,0.257165,5,0.957163,1273
28,940.732,0.291747,5,0.948762,1154.2
29,977.338,0.297299,5,0.966058,1192.2
30,1013.41,0.310882,5,0.949219,1263.2
31,1049.74,0.355454,5,0.994154,1257
32,1086.08,0.358502,5,0.985674,1267
33,1123.76,0.396164,3,0.953117,1276
34,1187.02,0.929621,2,0.997291,638
35,1220.66,0.961522,1,0.998224,556
36,1254.31,0.927138,1,0.996866,563
37,1288.63,0.949444,2,0.995352,590
38,1322.95,0.975718,1,0.999268,560
39,1356.59,0.759347,3,0.982637,784.667
41,1460.22,0.93333,4,0.999478,609
42,1495.21,0.980187,3,0.999393,571.333
43,1529.31,1.02524,3,0.995788,506.333
44,1584.04,0.655347,1,0.98826,860
45,1625.76,0.821779,2,0.924109,543
46,1667.48,0.664733,4,0.972914,820
47,1710.54,0.799631,4,0.954071,683.5
48,1753.61,0.765932,4,0.956538,686
49,1795.33,0.913034,4,0.999714,637.5
50,1838.4,0.869465,4,0.948978,616.75
51,1880.12,0.876409,4,0.993521,643
52,1925.07,0.885195,5,0.996677,646
53,1967.6,0.929191,5,0.987604,633
54,2012.01,1.00271,4,0.98963,572.75
55,2056.42,1.00892,4,0.998588,564
56,2102.18,1.06283,2,0.983917,523
57,2147.49,1.06482,3,0.990128,521
58,2192.8,1.12592,3,0.998757,503.333
59,2238.78,1.0697,4,0.94298,483.75
60,2285.55,0.992163,4,0.954637,506
61,2332.31,1.21931,4,0.950977,435.75
62,2380.32,1.2276,3,0.993273,444.667
63,2428.54,1.15816,2,0.986717,475
64,2476.77,1.10891,3,0.989318,509.667
65,2524.77,1.13703,2,0.974753,492
67,2624.36,1.31459,1,0.982892,424
68,2675.5,1.40824,1,0.985621,388
71,2855.84,1.7647,4,0.997376,319.75
74,2774.01,1.57872,5,0.95937,318.2
79,2855.84,1.70174,1,0.983381,269
81,3144.39,2.17171,5,0.858079,439.8
86,3496.12,2.68332,4,0.885695,339
87,4285.44,4.46256,4,0.958183,181.75
