partial,f,sigma,count,meanR2,meanFittedFrameCount
1,156.116,0.344864,2,0.859813,1014
2,310.886,0.221289,2,0.644659,1015
3,467.001,0.19967,2,0.661808,1011.5
4,621.771,0.194499,3,0.699162,1015.33
5,777.887,0.25123,5,0.751311,1015
6,935.349,0.305309,5,0.697147,1008
7,1091.46,0.340504,5,0.833203,1001.2
8,1248.93,0.292946,5,0.722737,1007.8
9,1406.66,0.36839,5,0.898267,1007.2
10,1565.19,0.342858,5,0.821767,1012
11,1725.35,0.552339,5,0.996439,978
12,1888.19,0.605394,4,0.903334,778.5
19,2861.49,0.802868,5,0.940401,628
21,3230.79,1.12052,5,0.920684,589.2
22,3281.12,1.31238,2,0.867381,501.5
23,3365.91,1.97105,1,0.798941,342
24,3707.75,1.36036,5,0.910211,516
26,3881.36,1.32813,5,0.885241,557.4
28,4233.7,1.80133,5,0.9153,449.8
30,4865.49,2.28574,4,0.895552,344
32,5139.71,2.1906,2,0.900916,413.5
35,5326.78,2.34081,4,0.87724,361.5
36,6492.26,3.59239,3,0.915949,219.667
42,6690.55,3.46694,3,0.860551,250.667
43,7734.91,4.05763,3,0.772571,299.333
47,7950.46,5.52255,2,0.91041,165
48,8385.16,6.13355,2,0.892665,167.5
50,9524.41,5.71983,1,0.848632,186
55,9765.31,6.08066,1,0.864739,182
58,10484,1.6037,1,0.533861,386
