partial,f,sigma,r2,fittedFrameCount
1,493.918,0.358112,0.663188,767
2,989.182,0.410387,0.590339,766
3,1487.14,0.585477,0.889869,763
4,1990.48,0.670127,0.958532,759
5,2499.2,0.999718,0.958898,657
6,3014.65,1.66448,0.981498,448
8,3538.17,2.35646,0.972027,300
9,4075.16,2.78899,0.956763,252
10,4617.53,3.88622,0.923327,168
11,5180.08,5.48675,0.954256,155
12,6941.77,7.82452,0.890929,142
16,7560.85,10.1404,0.922158,113
17,8182.62,12.5025,0.940079,62
18,8856.88,5.86822,0.70329,153
19,9532.48,5.29706,0.646699,155
20,10229.6,4.35937,0.611424,162
