partial,f,sigma,r2,fittedFrameCount
1,184.378,0.317996,0.906122,1010
3,554.48,0.303992,0.747037,1013
4,740.204,0.288885,0.688361,1004
5,925.928,0.343003,0.924483,1005
6,1113,0.282646,0.803344,1000
7,1300.07,0.413108,0.932942,987
8,1488.48,0.498925,0.920266,932
9,1678.24,0.52967,0.963749,987
10,1868.01,0.589988,0.942368,833
11,2057.77,0.689397,0.92981,715
12,2250.22,0.676714,0.954117,712
13,2444.02,0.789111,0.961469,697
14,2639.16,0.807158,0.937822,530
15,2838.35,0.905824,0.957895,590
16,3033.49,0.979636,0.966434,781
19,3845.02,1.37522,0.959973,514
24,4263.57,1.45794,0.927288,431
26,4690.2,2.1336,0.92836,296
28,6038.72,2.96333,0.938606,225
34,6270.2,3.21039,0.950382,211
35,6508.41,3.6525,0.925322,212
36,8002.28,5.09834,0.906681,129
43,9619.96,5.22827,0.804033,196
