partial,f,sigma,r2,fittedFrameCount
1,57.8705,0.187987,0.723339,1276
3,174.957,0.295902,0.662501,1271
4,232.828,0.223056,0.927548,1270
5,290.698,0.153183,0.699513,1275
7,407.785,0.193192,0.833201,1272
8,465.656,0.149835,0.63749,1274
9,523.526,0.278596,0.828059,1271
11,640.613,0.150682,0.620951,1274
12,699.829,0.198527,0.620203,1273
13,757.7,0.181695,0.723469,1274
14,816.916,0.19391,0.656052,1263
15,876.132,0.177611,0.698013,1272
16,935.349,0.25438,0.70949,1267
17,994.565,0.181567,0.686334,1269
18,1053.78,0.214583,0.67359,1269
19,1114.34,0.250441,0.834581,1270
30,1837.05,0.319109,0.819723,1078
31,1898.96,0.388707,0.942884,1260
32,1960.87,0.372909,0.941036,1262
33,2022.78,0.391376,0.926066,1261
34,2084.68,0.420242,0.930801,1223
35,2149.28,0.404757,0.91203,1145
37,2301.36,5.09087,0.989497,103
41,2593.41,0.555621,0.951012,914
42,2658,0.520605,0.946432,995
43,2719.91,0.525837,0.962162,925
50,3116.93,0.672299,0.923347,751
56,3832.91,1.90769,0.88618,491
65,4021.33,1.54347,0.884134,763
68,4454.68,1.55626,0.862773,718
73,4598.68,0.872935,0.689194,934
