partial,f,sigma,r2,fittedFrameCount
1,78.0579,0.241568,0.931094,1268
2,154.77,0.264626,0.951276,1270
3,232.828,0.172768,0.72745,1269
4,310.886,0.165764,0.712511,1272
5,388.943,0.229221,0.698101,1270
6,467.001,0.224279,0.694654,1265
7,545.059,0.217477,0.844424,1271
8,623.117,0.242256,0.764688,1270
10,779.233,0.221037,0.771059,1267
11,857.291,0.221503,0.750852,1269
12,936.694,0.236283,0.78371,1268
13,1014.75,0.246596,0.802413,1271
14,1094.16,0.198986,0.704258,1262
15,1172.21,0.361418,0.928889,1119
16,1251.62,0.297853,0.670913,1058
17,1332.37,0.503648,0.964258,1030
18,1411.77,0.310661,0.881786,1259
19,1492.52,0.296714,0.897157,1262
37,3076.56,0.609067,0.96774,936
43,3161.34,0.716259,0.8405,821
44,3239.4,0.870928,0.818863,633
45,3517.99,1.65456,0.725692,454
49,3699.67,1.42348,0.733855,459
51,3884.05,2.08021,0.867138,475
