partial,f,sigma,r2,fittedFrameCount
1,110.358,0.273946,0.910203,1260
4,440.085,0.21187,0.605753,1266
5,550.443,0.241288,0.801269,1270
6,660.8,0.163843,0.71492,1265
7,771.158,0.203056,0.698808,1270
9,991.873,0.28676,0.85168,1267
10,1103.58,0.240437,0.720912,1266
11,1216.63,0.303211,0.809216,1260
12,1331.02,0.36303,0.792734,1164
23,2702.42,0.748008,0.958703,730
26,2939.28,0.632992,0.934618,661
29,3059.06,0.694011,0.945388,826
30,3422.43,1.06202,0.934199,591
33,3546.25,1.05688,0.89516,605
34,4299.91,1.20599,0.876974,434
40,4429.11,1.43599,0.880168,415
41,4820.75,2.75414,0.895426,346
43,5499.04,2.81907,0.857859,292
48,5636.32,3.4064,0.894686,269
