partial,f,sigma,r2,fittedFrameCount
1,68.6371,0.272701,0.876134,1266
2,138.62,0.201667,0.638812,1270
4,277.24,0.260537,0.803076,1226
5,345.877,0.194655,0.836342,1273
7,484.497,0.202611,0.848557,1273
8,554.48,0.217662,0.737367,1272
9,624.463,0.200468,0.657192,1269
10,693.1,0.23641,0.890475,1270
11,763.083,0.193386,0.684989,1273
12,833.066,0.215473,0.763635,1271
13,903.049,0.214386,0.763601,1271
14,974.377,0.197165,0.64223,1172
15,1044.36,0.249917,0.663044,1267
16,1114.34,0.278719,0.847598,1260
17,1185.67,0.258927,0.828364,1270
18,1255.65,0.305525,0.887642,1262
19,1328.33,0.35788,0.905106,1197
26,1873.39,0.580987,0.762492,574
34,2499.2,0.614263,0.966435,934
35,2574.56,0.567824,0.951277,883
36,2651.28,0.565391,0.961571,935
37,2727.99,0.618835,0.977088,846
38,2806.05,0.583945,0.976121,913
44,3199.03,0.703814,0.931289,825
49,3935.19,0.895156,0.93364,614
58,4620.22,1.88895,0.810446,367
66,4796.52,1.95868,0.849625,345
68,5626.9,3.34438,0.899792,335
