partial,f,sigma,r2,fittedFrameCount
1,36.3373,0.212841,0.911935,1276
2,72.6746,0.187277,0.885443,1275
3,109.012,0.1418,0.650152,1276
4,146.695,0.145627,0.769765,1276
6,219.37,0.14797,0.64729,1276
7,255.707,0.153437,0.804725,1276
8,293.39,0.178147,0.859191,1273
10,366.064,0.140747,0.692045,1276
11,403.748,0.155808,0.640581,1275
12,440.085,0.17486,0.677206,1274
13,477.768,0.225658,0.939309,1272
14,514.105,0.174065,0.866401,1271
15,551.788,0.156174,0.698289,1275
16,589.471,0.171654,0.767416,1273
17,627.155,0.229951,0.927113,1274
18,664.838,0.215717,0.869626,1273
19,702.521,0.200813,0.790872,1271
20,740.204,0.186416,0.86361,1274
21,777.887,0.200463,0.861932,1271
22,816.916,0.215203,0.911659,1271
23,854.599,0.234351,0.925422,1264
24,893.628,0.274861,0.932856,1269
25,934.003,0.301509,0.9436,1269
27,1028.21,3.00121,0.967279,173
34,1329.68,0.443105,0.979064,1260
35,1371.4,0.469856,0.984981,1143
36,1413.12,0.526881,0.983679,1034
37,1454.84,0.542329,0.964332,993
38,1496.56,0.518917,0.995571,1090
39,1540.97,0.505685,0.830005,845
40,1581.34,0.71979,0.950615,773
41,1624.41,0.645583,0.955146,796
42,1667.48,0.630933,0.975248,847
43,1710.54,0.689477,0.99285,838
44,1753.61,0.792972,0.926129,633
45,1799.37,0.849995,0.917485,573
50,2055.08,2.81416,0.979378,204
51,2112.95,0.949178,0.982766,580
52,2160.05,1.04238,0.954583,508
53,2207.15,0.974237,0.972632,561
54,2254.26,1.10922,0.942467,474
55,2301.36,1.14951,0.957799,466
56,2348.46,1.02124,0.976569,475
57,2398.26,1.11644,0.984012,452
60,2570.53,1.32776,0.988173,405
65,2849.11,1.3972,0.974664,375
67,2955.43,1.72474,0.999214,314
69,3084.63,1.90918,0.978407,378
79,3170.76,1.94977,0.952772,341
80,3597.39,4.20255,0.979995,238
84,4628.29,2.54025,0.924951,251
