partial,f,sigma,r2,fittedFrameCount
1,48.4497,0.274893,0.846068,1262
2,98.2452,0.216633,0.792419,1273
3,146.695,0.230919,0.869888,1271
4,195.145,0.218585,0.877601,1271
5,244.94,0.202836,0.817298,1274
7,341.84,0.183575,0.713304,1273
8,391.635,0.227108,0.929046,1274
9,440.085,0.1111,0.62791,1276
10,489.88,0.280425,0.791412,1273
11,539.676,0.152508,0.716397,1270
12,588.126,0.205255,0.622937,1271
13,637.921,0.281134,0.766477,1266
14,687.717,0.198366,0.876105,1257
15,737.512,0.222731,0.820835,1271
17,837.103,0.227609,0.757513,1268
18,886.899,0.237807,0.813448,1271
19,936.694,0.315116,0.905158,1270
20,987.836,0.275312,0.83675,1266
21,1038.98,0.257738,0.680435,1270
22,1091.46,0.285505,0.884551,1265
23,1143.95,0.236769,0.711585,1269
25,1274.5,0.677734,0.844738,690
26,1325.64,0.660413,0.88799,752
27,1375.43,0.561286,0.918409,824
28,1425.23,0.568009,0.782913,795
29,1473.68,0.563699,0.888227,787
32,1658.06,0.459845,0.965613,1171
33,1713.24,0.418173,0.921549,1227
34,1765.72,0.512871,0.938448,1017
35,1819.56,0.467301,0.970098,1066
36,1873.39,0.502329,0.963194,1026
37,1928.57,0.53052,0.924303,972
38,1983.75,0.479884,0.9801,1182
39,2038.93,0.521566,0.991652,1044
41,2177.55,0.843493,0.940791,571
45,2431.91,0.760518,0.88844,665
46,2488.43,0.721899,0.96968,780
48,2604.17,0.830528,0.965076,614
54,2843.73,0.854995,0.947598,546
59,3208.45,1.20514,0.936769,499
65,3462.81,1.47508,0.853349,446
69,4033.44,1.98418,0.920984,319
77,4260.88,2.53284,0.911408,434
80,4760.18,1.67936,0.75572,555
87,5439.83,1.1587,0.629731,639
