partial,f,sigma,r2,fittedFrameCount
1,52.4872,0.205378,0.755783,1270
2,103.629,0.271882,0.932555,1270
3,154.77,0.26222,0.791009,1275
4,207.257,0.238738,0.809423,1272
8,414.514,0.134673,0.72891,1277
9,467.001,0.164221,0.633327,1271
10,519.489,0.190317,0.752935,1270
11,570.63,0.171084,0.719437,1271
13,675.604,0.286165,0.834297,1265
14,728.091,0.22784,0.731184,1254
15,780.579,0.241231,0.816083,1269
16,834.412,0.232939,0.81548,1272
17,886.899,0.197505,0.714874,1269
18,939.386,0.236637,0.843478,1267
19,991.873,0.314293,0.860713,1190
20,1047.05,0.234803,0.840619,1080
21,1102.23,0.284525,0.818796,1260
26,1403.7,0.674258,0.899109,615
28,1508.67,0.756027,0.897499,580
32,1754.96,0.47932,0.967104,1041
33,1810.13,0.434128,0.92816,1171
34,1868.01,0.433215,0.937842,1120
35,1925.88,0.471856,0.960857,1127
36,1981.05,0.506809,0.975166,1081
37,2037.58,0.484942,0.995972,1208
38,2098.14,0.549025,0.967949,942
43,2444.02,0.650149,0.966921,812
44,2505.93,0.715495,0.981853,769
45,2565.14,0.747708,0.980062,746
46,2629.74,0.745144,0.933705,691
53,2932.55,0.943498,0.968204,525
58,2994.46,1.01337,0.983127,521
59,3602.77,1.30564,0.924679,489
68,3715.82,1.99142,0.897385,469
70,4186.86,2.77742,0.927526,387
76,4256.85,2.4965,0.940041,444
77,4632.33,3.20381,0.855146,273
82,4707.7,2.10646,0.859884,480
83,4855.74,2.18207,0.815161,451
85,5372.53,1.89072,0.746504,484
91,5530,1.77495,0.706971,499
93,5715.72,1.36614,0.650502,564
