partial,f,sigma,r2,fittedFrameCount
1,65.9454,0.260106,0.895005,1272
2,130.545,0.260762,0.91349,1269
3,196.49,0.19355,0.873483,1274
4,261.09,0.299453,0.866191,1272
5,327.036,0.202906,0.795472,1273
6,391.635,0.204512,0.808856,1274
7,457.581,0.231761,0.822517,1272
11,720.016,0.29417,0.927747,1268
12,785.962,0.201529,0.719527,1273
13,851.907,0.162859,0.696402,1272
14,917.853,0.217818,0.807383,1270
15,985.144,0.216358,0.767005,1190
16,1051.09,0.301723,0.807062,1262
17,1118.38,0.222752,0.738289,1272
18,1184.33,0.266385,0.817893,1267
19,1252.96,0.265633,0.758333,1205
20,1321.6,0.318303,0.785429,1107
33,2283.87,0.462981,0.93435,1092
34,2356.54,0.505524,0.951667,994
35,2426.52,0.54835,0.954664,983
36,2499.2,0.566033,0.966265,952
37,2570.53,0.56491,0.944495,879
38,2645.89,0.630477,0.916418,798
44,2715.88,0.55552,0.900498,907
45,3084.63,0.64051,0.965148,1096
50,3620.27,0.942701,0.975002,701
57,3701.02,0.811347,0.973622,808
58,4390.08,1.7934,0.923743,458
66,4509.86,1.22662,0.944622,494
68,5270.25,1.58852,0.926654,373
76,7027.9,2.40027,0.849336,228
93,7282.26,1.13053,0.581094,583
96,7906.72,1.36624,0.6103,583
