key,pitch,f0,g,a1,pointCount,fitError
21,A0,27.5,0.998699,-0.3705,73,1.5645e-05
22,As0,29.1352,0.997799,-0.3095,78,1.7303e-05
23,B0,30.8677,0.997877,-0.2505,68,1.86975e-05
24,C1,32.7032,0.997968,-0.209,69,6.01428e-06
25,Cs1,34.6478,0.998109,-0.191,59,6.49418e-06
26,D1,36.7081,0.996275,-0.163,61,3.76798e-05
27,Ds1,38.8909,0.997399,-0.1675,60,2.23739e-05
28,E1,41.2034,0.996961,-0.1485,58,2.32808e-05
29,F1,43.6535,0.997126,-0.114,51,5.30564e-06
30,Fs1,46.2493,0.996963,-0.088,50,3.31512e-06
31,G1,48.9994,0.997967,-0.0915,57,1.59252e-06
32,Gs1,51.9131,0.998304,-0.085,56,2.27627e-06
33,A1,55,0.998374,-0.0785,53,3.13736e-06
34,As1,58.2705,0.998659,-0.061,47,1.205e-05
35,B1,61.7354,0.998801,-0.0555,43,1.27458e-06
36,C2,65.4064,0.998163,-0.0375,37,1.17e-06
37,Cs2,69.2957,0.998078,-0.0335,42,4.56894e-06
38,D2,73.4162,0.998514,-0.041,39,4.15278e-06
39,Ds2,77.7817,0.998789,-0.0445,34,2.45341e-06
40,E2,82.4069,0.998902,-0.0425,33,1.84553e-06
41,F2,87.3071,0.998039,-0.0305,38,5.43931e-06
42,Fs2,92.4986,0.99873,-0.0355,41,1.22376e-06
43,G2,97.9989,0.99862,-0.0305,38,1.00581e-06
44,Gs2,103.826,0.999113,-0.0345,43,1.22309e-06
45,A2,110,0.998473,-0.0275,28,3.06578e-06
46,As2,116.541,0.998678,-0.0265,29,9.1255e-07
47,B2,123.471,0.999103,-0.029,24,4.84845e-07
48,C3,130.813,0.998577,-0.023,30,4.0413e-06
49,Cs3,138.591,0.998899,-0.025,27,1.89988e-06
50,D3,146.832,0.998751,-0.022,27,4.08835e-06
51,Ds3,155.563,0.998955,-0.0225,30,2.57446e-06
52,E3,164.814,0.999011,-0.0205,26,1.3177e-06
53,F3,174.614,0.999347,-0.023,31,1.29021e-06
54,Fs3,184.997,0.999305,-0.0225,24,3.57285e-07
55,G3,195.998,0.999374,-0.022,25,4.35698e-07
56,Gs3,207.652,0.999351,-0.02,26,3.54752e-07
57,A3,220,0.999444,-0.02,21,9.15992e-07
58,As3,233.082,0.999566,-0.0235,18,2.59047e-07
59,B3,246.942,0.999832,-0.024,16,3.00571e-07
60,C4,261.626,0.999781,-0.0225,20,4.38415e-07
61,Cs4,277.183,0.999218,-0.0155,24,2.89966e-06
62,D4,293.665,0.999396,-0.016,16,7.50462e-07
63,Ds4,311.127,0.999558,-0.0155,16,2.45227e-07
64,E4,329.628,0.999652,-0.0155,14,9.48858e-08
65,F4,349.228,0.999907,-0.0185,17,4.17168e-07
66,Fs4,369.994,1,-0.02,14,1.54074e-07
67,G4,391.995,0.999346,-0.0105,17,1.51188e-06
68,Gs4,415.305,0.999872,-0.017,13,4.64276e-07
69,A4,440,0.999293,-0.01,15,2.15661e-06
70,As4,466.164,0.999855,-0.016,15,3.99368e-07
71,B4,493.883,0.999259,-0.0105,16,1.43758e-06
72,C5,523.251,0.999899,-0.016,12,5.42198e-07
73,Cs5,554.365,0.999299,-0.012,15,1.29135e-06
74,D5,587.33,0.999269,-0.011,14,6.83562e-07
75,Ds5,622.254,0.999892,-0.016,10,1.19428e-07
76,E5,659.255,0.999488,-0.0115,10,4.28166e-07
77,F5,698.456,0.999777,-0.014,11,9.69208e-08
78,Fs5,739.989,0.99971,-0.012,10,1.71466e-07
79,G5,783.991,0.999216,-0.008,10,2.65403e-07
80,Gs5,830.609,0.999262,-0.0085,10,5.41473e-07
81,A5,880,0.999367,-0.0095,10,2.33663e-07
82,As5,932.328,0.998785,-0.0055,11,1.24324e-06
83,B5,987.767,0.999245,-0.006,9,5.74382e-07
84,C6,1046.5,0.998933,-0.0055,9,9.20466e-07
85,Cs6,1108.73,0.999338,-0.0075,7,1.30045e-07
86,D6,1174.66,0.999163,-0.0075,7,8.41322e-07
87,Ds6,1244.51,0.999456,-0.008,6,1.82117e-07
88,E6,1318.51,0.999306,-0.0055,6,2.54081e-07
89,F6,1396.91,0.998887,-0.001,7,3.90597e-07
90,Fs6,1479.98,0.999323,-0.003,7,2.96089e-07
91,G6,1567.98,0.999386,-0.004,5,1.6822e-07
92,Gs6,1661.22,0.9999,-0.01,4,1.2868e-07
93,A6,1760,0.999334,-0.0045,4,2.49633e-07
94,As6,1864.66,0.999427,-0.0045,4,5.39089e-07
95,B6,1975.53,0.999317,-0.0035,4,4.92228e-07
96,C7,2093,0.999661,-0.0055,4,5.63486e-07
97,Cs7,2217.46,1,-0.0075,4,3.02765e-07
98,D7,2349.32,0.99942,-0.0025,4,1.12574e-07
99,Ds7,2489.02,0.999354,-0.0055,4,2.18377e-07
100,E7,2637.02,0.9997,-0.0045,4,9.07777e-08
101,F7,2793.83,0.999856,-0.0045,4,6.11534e-07
102,Fs7,2959.96,0.99997,-0.0055,3,1.99755e-07
103,G7,3135.96,0.999978,-0.0065,3,6.99793e-08
104,Gs7,3322.44,0.996951,-0.001,2,1.96138e-07
105,A7,3520,0.999497,-0.002,3,1.56231e-07
106,As7,3729.31,1,-0.005,2,1.14269e-07
107,B7,3951.07,0.999761,-0.0025,3,3.24107e-07
108,C8,4186.01,1,-0.0035,3,6.12601e-07
