Time: 1.01592, F: 1.58257e-14
Time: 1.01594, F: 5.34295e-13
Time: 1.01596, F: 4.76445e-12
Time: 1.01599, F: 2.38636e-11
Time: 1.01601, F: 8.5372e-11
Time: 1.01603, F: 2.44751e-10
Time: 1.01605, F: 5.99907e-10
Time: 1.01608, F: 1.30859e-09
Time: 1.0161, F: 2.60858e-09
Time: 1.01612, F: 4.84049e-09
Time: 1.01615, F: 8.47322e-09
Time: 1.01617, F: 1.41318e-08
Time: 1.01619, F: 2.26277e-08
Time: 1.01621, F: 3.49912e-08
Time: 1.01624, F: 5.25065e-08
Time: 1.01626, F: 7.67484e-08
Time: 1.01628, F: 1.09621e-07
Time: 1.0163, F: 1.53399e-07
Time: 1.01633, F: 2.10771e-07
Time: 1.01635, F: 2.84882e-07
Time: 1.01637, F: 3.79382e-07
Time: 1.01639, F: 4.98474e-07
Time: 1.01642, F: 6.46963e-07
Time: 1.01644, F: 8.30307e-07
Time: 1.01646, F: 1.05467e-06
Time: 1.01649, F: 1.32697e-06
Time: 1.01651, F: 1.65496e-06
Time: 1.01653, F: 2.04725e-06
Time: 1.01655, F: 2.51338e-06
Time: 1.01658, F: 3.06389e-06
Time: 1.0166, F: 3.71036e-06
Time: 1.01662, F: 4.46551e-06
Time: 1.01664, F: 5.3432e-06
Time: 1.01667, F: 6.35856e-06
Time: 1.01669, F: 7.52801e-06
Time: 1.01671, F: 8.86935e-06
Time: 1.01673, F: 1.04018e-05
Time: 1.01676, F: 1.21462e-05
Time: 1.01678, F: 1.41247e-05
Time: 1.0168, F: 1.63614e-05
Time: 1.01683, F: 1.88819e-05
Time: 1.01685, F: 2.17138e-05
Time: 1.01687, F: 2.48862e-05
Time: 1.01689, F: 2.84306e-05
Time: 1.01692, F: 3.23802e-05
Time: 1.01694, F: 3.67704e-05
Time: 1.01696, F: 4.16385e-05
Time: 1.01698, F: 4.70245e-05
Time: 1.01701, F: 5.29703e-05
Time: 1.01703, F: 5.95204e-05
Time: 1.01705, F: 6.67216e-05
Time: 1.01707, F: 7.46235e-05
Time: 1.0171, F: 8.3278e-05
Time: 1.01712, F: 9.274e-05
Time: 1.01714, F: 0.000103067
Time: 1.01717, F: 0.000114319
Time: 1.01719, F: 0.00012656
Time: 1.01721, F: 0.000139856
Time: 1.01723, F: 0.000154276
Time: 1.01726, F: 0.000169894
Time: 1.01728, F: 0.000186784
Time: 1.0173, F: 0.000205027
Time: 1.01732, F: 0.000224704
Time: 1.01735, F: 0.000245903
Time: 1.01737, F: 0.000268712
Time: 1.01739, F: 0.000293225
Time: 1.01741, F: 0.00031954
Time: 1.01744, F: 0.000347758
Time: 1.01746, F: 0.000377983
Time: 1.01748, F: 0.000410324
Time: 1.01751, F: 0.000444895
Time: 1.01753, F: 0.000481813
Time: 1.01755, F: 0.000521199
Time: 1.01757, F: 0.00056318
Time: 1.0176, F: 0.000607885
Time: 1.01762, F: 0.00065545
Time: 1.01764, F: 0.000706014
Time: 1.01766, F: 0.000759721
Time: 1.01769, F: 0.000816721
Time: 1.01771, F: 0.000877167
Time: 1.01773, F: 0.000941218
Time: 1.01776, F: 0.00100904
Time: 1.01778, F: 0.0010808
Time: 1.0178, F: 0.00115667
Time: 1.01782, F: 0.00123683
Time: 1.01785, F: 0.00132147
Time: 1.01787, F: 0.00141078
Time: 1.01789, F: 0.00150495
Time: 1.01791, F: 0.00160418
Time: 1.01794, F: 0.00170869
Time: 1.01796, F: 0.00181868
Time: 1.01798, F: 0.00193438
Time: 1.018, F: 0.00205601
Time: 1.01803, F: 0.00218381
Time: 1.01805, F: 0.002318
Time: 1.01807, F: 0.00245884
Time: 1.0181, F: 0.00260657
Time: 1.01812, F: 0.00276145
Time: 1.01814, F: 0.00292374
Time: 1.01816, F: 0.00309372
Time: 1.01819, F: 0.00327166
Time: 1.01821, F: 0.00345784
Time: 1.01823, F: 0.00365256
Time: 1.01825, F: 0.00385611
Time: 1.01828, F: 0.0040688
Time: 1.0183, F: 0.00429094
Time: 1.01832, F: 0.00452285
Time: 1.01834, F: 0.00476484
Time: 1.01837, F: 0.00501727
Time: 1.01839, F: 0.00528047
Time: 1.01841, F: 0.00555479
Time: 1.01844, F: 0.00584058
Time: 1.01846, F: 0.00613821
Time: 1.01848, F: 0.00644805
Time: 1.0185, F: 0.00677049
Time: 1.01853, F: 0.00710591
Time: 1.01855, F: 0.00745471
Time: 1.01857, F: 0.00781729
Time: 1.01859, F: 0.00819407
Time: 1.01862, F: 0.00858547
Time: 1.01864, F: 0.00899193
Time: 1.01866, F: 0.00941386
Time: 1.01868, F: 0.00985174
Time: 1.01871, F: 0.010306
Time: 1.01873, F: 0.0107771
Time: 1.01875, F: 0.0112656
Time: 1.01878, F: 0.0117719
Time: 1.0188, F: 0.0122965
Time: 1.01882, F: 0.0128399
Time: 1.01884, F: 0.0134026
Time: 1.01887, F: 0.0139852
Time: 1.01889, F: 0.0145881
Time: 1.01891, F: 0.015212
Time: 1.01893, F: 0.0158573
Time: 1.01896, F: 0.0165247
Time: 1.01898, F: 0.0172147
Time: 1.019, F: 0.0179278
Time: 1.01902, F: 0.0186647
Time: 1.01905, F: 0.0194259
Time: 1.01907, F: 0.0202122
Time: 1.01909, F: 0.021024
Time: 1.01912, F: 0.0218621
Time: 1.01914, F: 0.022727
Time: 1.01916, F: 0.0236194
Time: 1.01918, F: 0.0245401
Time: 1.01921, F: 0.0254896
Time: 1.01923, F: 0.0264686
Time: 1.01925, F: 0.0274778
Time: 1.01927, F: 0.0285181
Time: 1.0193, F: 0.0295899
Time: 1.01932, F: 0.0306942
Time: 1.01934, F: 0.0318316
Time: 1.01937, F: 0.0330029
Time: 1.01939, F: 0.0342088
Time: 1.01941, F: 0.0354502
Time: 1.01943, F: 0.0367277
Time: 1.01946, F: 0.0380423
Time: 1.01948, F: 0.0393947
Time: 1.0195, F: 0.0407857
Time: 1.01952, F: 0.0422162
Time: 1.01955, F: 0.0436871
Time: 1.01957, F: 0.0451991
Time: 1.01959, F: 0.0467532
Time: 1.01961, F: 0.0483502
Time: 1.01964, F: 0.0499911
Time: 1.01966, F: 0.0516767
Time: 1.01968, F: 0.0534079
Time: 1.01971, F: 0.0551858
Time: 1.01973, F: 0.0570112
Time: 1.01975, F: 0.0588851
Time: 1.01977, F: 0.0608086
Time: 1.0198, F: 0.0627825
Time: 1.01982, F: 0.0648078
Time: 1.01984, F: 0.0668857
Time: 1.01986, F: 0.069017
Time: 1.01989, F: 0.0712029
Time: 1.01991, F: 0.0734445
Time: 1.01993, F: 0.0757427
Time: 1.01995, F: 0.0780986
Time: 1.01998, F: 0.0805134
Time: 1.02, F: 0.0829882
Time: 1.02002, F: 0.0855241
Time: 1.02005, F: 0.0881222
Time: 1.02007, F: 0.0907836
Time: 1.02009, F: 0.0935097
Time: 1.02011, F: 0.0963014
Time: 1.02014, F: 0.09916
Time: 1.02016, F: 0.102087
Time: 1.02018, F: 0.105083
Time: 1.0202, F: 0.10815
Time: 1.02023, F: 0.111288
Time: 1.02025, F: 0.1145
Time: 1.02027, F: 0.117786
Time: 1.02029, F: 0.121148
Time: 1.02032, F: 0.124587
Time: 1.02034, F: 0.128104
Time: 1.02036, F: 0.131701
Time: 1.02039, F: 0.135379
Time: 1.02041, F: 0.139139
Time: 1.02043, F: 0.142983
Time: 1.02045, F: 0.146913
Time: 1.02048, F: 0.150929
Time: 1.0205, F: 0.155033
Time: 1.02052, F: 0.159227
Time: 1.02054, F: 0.163512
Time: 1.02057, F: 0.167889
Time: 1.02059, F: 0.17236
Time: 1.02061, F: 0.176927
Time: 1.02063, F: 0.181591
Time: 1.02066, F: 0.186354
Time: 1.02068, F: 0.191216
Time: 1.0207, F: 0.196181
Time: 1.02073, F: 0.201249
Time: 1.02075, F: 0.206422
Time: 1.02077, F: 0.211702
Time: 1.02079, F: 0.21709
Time: 1.02082, F: 0.222588
Time: 1.02084, F: 0.228197
Time: 1.02086, F: 0.23392
Time: 1.02088, F: 0.239759
Time: 1.02091, F: 0.245714
Time: 1.02093, F: 0.251787
Time: 1.02095, F: 0.257981
Time: 1.02098, F: 0.264297
Time: 1.021, F: 0.270738
Time: 1.02102, F: 0.277304
Time: 1.02104, F: 0.283997
Time: 1.02107, F: 0.290821
Time: 1.02109, F: 0.297776
Time: 1.02111, F: 0.304864
Time: 1.02113, F: 0.312087
Time: 1.02116, F: 0.319448
Time: 1.02118, F: 0.326947
Time: 1.0212, F: 0.334588
