Time: 2.26757369614512e-05, F: 0.235328296284533
Time: 4.53514739229025e-05, F: 1.20389121443151
Time: 6.80272108843537e-05, F: 2.90430797460148
Time: 9.0702947845805e-05, F: 4.91239085197264
Time: 0.000113378684807256, F: 6.66072398354779
Time: 0.000136054421768707, F: 7.8282125495549
Time: 0.000158730158730159, F: 8.44377059204568
Time: 0.00018140589569161, F: 8.70093131469374
Time: 0.000204081632653061, F: 8.77594887610151
Time: 0.000226757369614512, F: 8.77291142871484
Time: 0.000249433106575964, F: 8.74029691917546
Time: 0.000272108843537415, F: 8.69741767831245
Time: 0.000294784580498866, F: 8.65112759368835
Time: 0.000317460317460317, F: 8.60364181281727
Time: 0.000340136054421769, F: 8.5556291931018
Time: 0.00036281179138322, F: 8.50729277930237
Time: 0.000385487528344671, F: 8.45870765073112
Time: 0.000408163265306122, F: 8.4099185171838
Time: 0.000430839002267574, F: 8.36096231860794
Time: 0.000453514739229025, F: 8.31187155984042
Time: 0.000476190476190476, F: 8.26267625867702
Time: 0.000498866213151927, F: 8.21340379276896
Time: 0.000521541950113379, F: 8.16407956043117
Time: 0.00054421768707483, F: 8.11472678868263
Time: 0.000566893424036281, F: 8.06536613288418
Time: 0.000589569160997732, F: 8.01601771214547
Time: 0.000612244897959184, F: 7.96669822689314
Time: 0.000634920634920635, F: 7.91742487078803
Time: 0.000657596371882086, F: 7.86821223990641
Time: 0.000680272108843537, F: 7.81907471870276
Time: 0.000702947845804989, F: 7.77002451784624
Time: 0.00072562358276644, F: 7.72107384372266
Time: 0.000748299319727891, F: 7.67223336271137
Time: 0.000770975056689342, F: 7.62351310515191
Time: 0.000793650793650794, F: 7.57492339235723
Time: 0.000816326530612245, F: 7.5264717017427
Time: 0.000839002267573696, F: 7.47816711402831
Time: 0.000861678004535147, F: 7.43001652065575
Time: 0.000884353741496599, F: 7.38202673626465
Time: 0.00090702947845805, F: 7.33420420026462
Time: 0.000929705215419501, F: 7.28655538863823
Time: 0.000952380952380952, F: 7.23908552608861
Time: 0.000975056689342404, F: 7.1917997429791
Time: 0.000997732426303855, F: 7.14470285184478
Time: 0.00102040816326531, F: 7.09779948643371
Time: 0.00104308390022676, F: 7.05109356667243
Time: 0.00106575963718821, F: 7.00458881852073
Time: 0.00108843537414966, F: 6.95828860733587
Time: 0.00111111111111111, F: 6.91219681243749
Time: 0.00113378684807256, F: 6.866315950071
Time: 0.00115646258503401, F: 6.82064843973459
Time: 0.00117913832199546, F: 6.77519715788856
Time: 0.00120181405895692, F: 6.72996495630773
Time: 0.00122448979591837, F: 6.68495386140597
Time: 0.00124716553287982, F: 6.64016533071169
Time: 0.00126984126984127, F: 6.59560118982495
Time: 0.00129251700680272, F: 6.55126318254158
Time: 0.00131519274376417, F: 6.50715288077403
Time: 0.00133786848072562, F: 6.4632722811055
Time: 0.00136054421768707, F: 6.41962201215623
