mode,frequency_hz,candidate_fraction,candidate_db,target_fraction,target_db,delta_db
1,261.626,0.018709982011612607,-14.57130406041055,,,
2,523.252,0.53604811849464,0.0,,,
3,784.8779999999999,0.008409096955585116,-18.04454416139467,,,
4,1046.504,0.28642973177082987,-2.7218567970054863,,,
5,1308.1299999999999,0.006946168889935756,-18.874584374081213,,,
6,1569.7559999999999,0.0957243623050094,-7.481812941428872,,,
7,1831.3819999999998,0.0019323394396937436,-24.431203579348264,,,
8,2093.008,0.011898330637105206,-16.537177428349672,,,
9,2354.634,3.183645940351032e-05,-42.26279013005435,,,
10,2616.2599999999998,0.001333571974919337,-26.041873158004325,,,
11,2877.8859999999995,0.00025457554538626544,-33.233870931512065,,,
12,3139.5119999999997,0.011616826763185673,-16.641162630404885,,,
13,3401.138,0.0006301006016402986,-29.29793881702726,,,
14,3662.7639999999997,0.011632092368877273,-16.635459337937906,,,
15,3924.3899999999994,0.0005193853934296696,-30.13714044107197,,,
16,4186.016,0.004416737245501554,-20.841022124235234,,,
17,4447.642,0.00012612752790235813,-36.28393892346707,,,
18,4709.268,0.0002873601753069614,-32.707771960633735,,,
19,4970.893999999999,1.1261904218608313e-06,-56.77591946607685,,,
20,5232.5199999999995,0.00038668553321601355,-31.418458515622618,,,
21,5494.146,8.147573789937367e-05,-38.18175473576899,,,
22,5755.771999999999,0.0011643488510357958,-26.63120657038618,,,
23,6017.397999999999,0.00014359371124357382,-35.72068355811679,,,
24,6279.023999999999,0.0008252590525984182,-28.126134790170777,,,
25,6540.65,8.745828108560266e-05,-37.874028385737894,,,
26,6802.276,0.0002076229962214388,-34.11928321911621,,,
27,7063.901999999999,1.1618187461123762e-05,-46.64065396395776,,,
28,7325.527999999999,1.1504145333518392e-06,-56.68349416418418,,,
29,7587.1539999999995,3.4735021935164018e-06,-51.884361985289786,,,
30,7848.779999999999,4.660836981721553e-05,-40.607398627606116,,,
31,8110.405999999999,2.4029973934231728e-05,-43.484504762796774,,,
32,8372.032,6.880463837391868e-05,-38.9158605938446,,,
