delay: 84.2806, f0: 261.626, z: 2.21359
Time: 4.53515e-05, F: 0.0852419
Time: 6.80272e-05, F: 0.446374
Time: 9.07029e-05, F: 1.1629
Time: 0.000113379, F: 2.26602
Time: 0.000136054, F: 3.74975
Time: 0.00015873, F: 5.57431
Time: 0.000181406, F: 7.67085
Time: 0.000204082, F: 9.94905
Time: 0.000226757, F: 12.3072
Time: 0.000249433, F: 14.6429
Time: 0.000272109, F: 16.8631
Time: 0.000294785, F: 18.8914
Time: 0.00031746, F: 20.6723
Time: 0.000340136, F: 22.172
Time: 0.000362812, F: 23.3768
Time: 0.000385488, F: 24.2895
Time: 0.000408163, F: 24.9255
Time: 0.000430839, F: 25.3085
Time: 0.000453515, F: 25.4669
Time: 0.00047619, F: 25.431
Time: 0.000498866, F: 25.2307
Time: 0.000521542, F: 24.8945
Time: 0.000544218, F: 24.448
Time: 0.000566893, F: 23.9143
Time: 0.000589569, F: 23.3133
Time: 0.000612245, F: 22.662
Time: 0.000634921, F: 21.9748
Time: 0.000657596, F: 21.2637
Time: 0.000680272, F: 20.5385
Time: 0.000702948, F: 19.8074
Time: 0.000725624, F: 19.0767
Time: 0.000748299, F: 18.3516
Time: 0.000770975, F: 17.6364
Time: 0.000793651, F: 16.9341
Time: 0.000816327, F: 16.2472
Time: 0.000839002, F: 15.5776
Time: 0.000861678, F: 14.9266
Time: 0.000884354, F: 14.295
Time: 0.000907029, F: 13.6836
Time: 0.000929705, F: 13.0925
Time: 0.000952381, F: 12.522
Time: 0.000975057, F: 11.972
Time: 0.000997732, F: 11.4422
Time: 0.00102041, F: 10.9323
Time: 0.00104308, F: 10.4421
Time: 0.00106576, F: 9.971
Time: 0.00108844, F: 9.51856
Time: 0.00111111, F: 9.08425
Time: 0.00113379, F: 8.66753
Time: 0.00115646, F: 8.26784
Time: 0.00117914, F: 7.88462
Time: 0.00120181, F: 7.51729
Time: 0.00122449, F: 7.1653
Time: 0.00124717, F: 6.82808
Time: 0.00126984, F: 6.50508
Time: 0.00129252, F: 6.19577
Time: 0.00131519, F: 5.89962
Time: 0.00133787, F: 5.6161
Time: 0.00136054, F: 5.34474
Time: 0.00138322, F: 5.08503
Time: 0.0014059, F: 4.83652
Time: 0.00142857, F: 4.59874
Time: 0.00145125, F: 4.37126
Time: 0.00147392, F: 4.15366
Time: 0.0014966, F: 3.94552
Time: 0.00151927, F: 3.74647
Time: 0.00154195, F: 3.55611
Time: 0.00156463, F: 3.37409
Time: 0.0015873, F: 3.20005
Time: 0.00160998, F: 3.03367
Time: 0.00163265, F: 2.87462
Time: 0.00165533, F: 2.72259
Time: 0.001678, F: 2.57728
Time: 0.00170068, F: 2.43842
Time: 0.00172336, F: 2.30572
Time: 0.00174603, F: 2.17892
Time: 0.00176871, F: 2.05778
Time: 0.00179138, F: 1.94205
Time: 0.00181406, F: 1.83151
Time: 0.00183673, F: 1.72592
Time: 0.00185941, F: 1.62509
Time: 0.00188209, F: 1.53503
Time: 0.00190476, F: 1.51182
