series,time_ms,force_N,velocity_m_s,hardness_N_mm_p,p,epsilon,tau_us
Original,0.0,0.007531,2.0,40000.0,5.0,0.998,600.0
Original,0.022675700000000003,0.240638,2.0,40000.0,5.0,0.998,600.0
Original,0.04535139999999999,1.80822,2.0,40000.0,5.0,0.998,600.0
Original,0.0680275,7.30829,2.0,40000.0,5.0,0.998,600.0
Original,0.0907025,19.6928,2.0,40000.0,5.0,0.998,600.0
Original,0.1133785,37.0238,2.0,40000.0,5.0,0.998,600.0
Original,0.1360545,49.8247,2.0,40000.0,5.0,0.998,600.0
Original,0.1587305,53.4361,2.0,40000.0,5.0,0.998,600.0
Original,0.1814055,52.4113,2.0,40000.0,5.0,0.998,600.0
Original,0.2040815,50.2936,2.0,40000.0,5.0,0.998,600.0
Original,0.22675749999999997,48.0492,2.0,40000.0,5.0,0.998,600.0
Original,0.24943349999999997,45.8651,2.0,40000.0,5.0,0.998,600.0
Original,0.2721085,43.7725,2.0,40000.0,5.0,0.998,600.0
Original,0.2947845,41.7737,2.0,40000.0,5.0,0.998,600.0
Original,0.3174605,39.8657,2.0,40000.0,5.0,0.998,600.0
Original,0.3401365,38.0446,2.0,40000.0,5.0,0.998,600.0
Original,0.3628115,36.3065,2.0,40000.0,5.0,0.998,600.0
Original,0.38548750000000004,34.6476,2.0,40000.0,5.0,0.998,600.0
Original,0.40816349999999996,33.0644,2.0,40000.0,5.0,0.998,600.0
Original,0.43083849999999996,31.5534,2.0,40000.0,5.0,0.998,600.0
Original,0.45351450000000004,30.1113,2.0,40000.0,5.0,0.998,600.0
Original,0.4761904999999999,28.735,2.0,40000.0,5.0,0.998,600.0
Original,0.4988665,27.4215,2.0,40000.0,5.0,0.998,600.0
Original,0.5215415,26.1679,2.0,40000.0,5.0,0.998,600.0
Original,0.5442175,24.9715,2.0,40000.0,5.0,0.998,600.0
Original,0.5668935,23.8298,2.0,40000.0,5.0,0.998,600.0
Original,0.5895695000000001,22.7402,2.0,40000.0,5.0,0.998,600.0
Original,0.6122445,21.7003,2.0,40000.0,5.0,0.998,600.0
Original,0.6349205,20.7079,2.0,40000.0,5.0,0.998,600.0
Original,0.6575965,19.7608,2.0,40000.0,5.0,0.998,600.0
Original,0.6802725000000001,18.857,2.0,40000.0,5.0,0.998,600.0
Original,0.7029475000000001,17.9945,2.0,40000.0,5.0,0.998,600.0
Original,0.7256235000000001,17.1714,2.0,40000.0,5.0,0.998,600.0
Original,0.7482995000000001,16.3859,2.0,40000.0,5.0,0.998,600.0
Original,0.7709755,15.6363,2.0,40000.0,5.0,0.998,600.0
Original,0.7936505,14.9209,2.0,40000.0,5.0,0.998,600.0
Original,0.8163265000000001,14.2382,2.0,40000.0,5.0,0.998,600.0
Original,0.8390025,13.5867,2.0,40000.0,5.0,0.998,600.0
Original,0.8616775,12.965,2.0,40000.0,5.0,0.998,600.0
Original,0.8843535,12.3718,2.0,40000.0,5.0,0.998,600.0
Original,0.9070295,11.8056,2.0,40000.0,5.0,0.998,600.0
Original,0.9297055000000001,11.2654,2.0,40000.0,5.0,0.998,600.0
Original,0.9523805000000001,10.7498,2.0,40000.0,5.0,0.998,600.0
Original,0.9750585,10.2578,2.0,40000.0,5.0,0.998,600.0
Original,0.9977285,9.78833,2.0,40000.0,5.0,0.998,600.0
Original,1.0204085,9.34031,2.0,40000.0,5.0,0.998,600.0
Original,1.0430884999999999,8.91279,2.0,40000.0,5.0,0.998,600.0
Original,1.0657584999999998,8.50482,2.0,40000.0,5.0,0.998,600.0
Original,1.0884384999999999,8.11551,2.0,40000.0,5.0,0.998,600.0
Original,1.1111084999999998,7.74401,2.0,40000.0,5.0,0.998,600.0
Original,1.1337884999999999,7.38951,2.0,40000.0,5.0,0.998,600.0
Original,1.1564584999999998,7.05123,2.0,40000.0,5.0,0.998,600.0
Original,1.1791384999999999,6.72842,2.0,40000.0,5.0,0.998,600.0
Original,1.2018185,6.42038,2.0,40000.0,5.0,0.998,600.0
Original,1.2244884999999999,6.12644,2.0,40000.0,5.0,0.998,600.0
Original,1.2471685,5.84595,2.0,40000.0,5.0,0.998,600.0
Original,1.2698384999999999,5.5783,2.0,40000.0,5.0,0.998,600.0
Original,1.2925185,5.32289,2.0,40000.0,5.0,0.998,600.0
Original,1.3151884999999999,5.07917,2.0,40000.0,5.0,0.998,600.0
Original,1.3378685,4.84661,2.0,40000.0,5.0,0.998,600.0
Original,1.3605485,4.62469,2.0,40000.0,5.0,0.998,600.0
Original,1.3832185000000001,4.41293,2.0,40000.0,5.0,0.998,600.0
Original,1.4058985,4.21086,2.0,40000.0,5.0,0.998,600.0
Original,1.4285685000000001,4.01804,2.0,40000.0,5.0,0.998,600.0
Original,1.4512485,3.83405,2.0,40000.0,5.0,0.998,600.0
Original,1.4739185,3.65848,2.0,40000.0,5.0,0.998,600.0
Original,1.4965985,3.49095,2.0,40000.0,5.0,0.998,600.0
Original,1.5192785,3.33108,2.0,40000.0,5.0,0.998,600.0
Original,1.5419485,3.17854,2.0,40000.0,5.0,0.998,600.0
Original,1.5646285,3.03298,2.0,40000.0,5.0,0.998,600.0
Original,1.5872985,2.89408,2.0,40000.0,5.0,0.998,600.0
Original,1.6099785,2.76154,2.0,40000.0,5.0,0.998,600.0
Original,1.6326485,2.63507,2.0,40000.0,5.0,0.998,600.0
Original,1.6553285,2.51439,2.0,40000.0,5.0,0.998,600.0
Original,1.6780084999999998,2.39924,2.0,40000.0,5.0,0.998,600.0
Original,1.7006785,2.28936,2.0,40000.0,5.0,0.998,600.0
Original,1.7233584999999998,2.18451,2.0,40000.0,5.0,0.998,600.0
Original,1.7460285,2.08446,2.0,40000.0,5.0,0.998,600.0
Original,1.7687084999999998,1.98899,2.0,40000.0,5.0,0.998,600.0
Original,1.7913785,1.8979,2.0,40000.0,5.0,0.998,600.0
Original,1.8140584999999998,1.81097,2.0,40000.0,5.0,0.998,600.0
Original,1.8367385,1.7331,2.0,40000.0,5.0,0.998,600.0
A1,0.0,0.235328,2.0,400.0,2.4,0.51,400.0
A1,0.022675700000000003,1.2297,2.0,400.0,2.4,0.51,400.0
A1,0.04535139999999999,3.18185,2.0,400.0,2.4,0.51,400.0
A1,0.0680275,6.12201,2.0,400.0,2.4,0.51,400.0
A1,0.0907025,9.93842,2.0,400.0,2.4,0.51,400.0
A1,0.1133785,14.3994,2.0,400.0,2.4,0.51,400.0
A1,0.1360545,19.1942,2.0,400.0,2.4,0.51,400.0
A1,0.1587305,23.988,2.0,400.0,2.4,0.51,400.0
A1,0.1814055,28.4769,2.0,400.0,2.4,0.51,400.0
A1,0.2040815,32.4278,2.0,400.0,2.4,0.51,400.0
A1,0.22675749999999997,35.6971,2.0,400.0,2.4,0.51,400.0
A1,0.24943349999999997,38.2276,2.0,400.0,2.4,0.51,400.0
A1,0.2721085,40.032,2.0,400.0,2.4,0.51,400.0
A1,0.2947845,41.1705,2.0,400.0,2.4,0.51,400.0
A1,0.3174605,41.7292,2.0,400.0,2.4,0.51,400.0
A1,0.3401365,41.8041,2.0,400.0,2.4,0.51,400.0
A1,0.3628115,41.4888,2.0,400.0,2.4,0.51,400.0
A1,0.38548750000000004,40.8687,2.0,400.0,2.4,0.51,400.0
A1,0.40816349999999996,40.0172,2.0,400.0,2.4,0.51,400.0
A1,0.43083849999999996,38.9961,2.0,400.0,2.4,0.51,400.0
A1,0.45351450000000004,37.8551,2.0,400.0,2.4,0.51,400.0
A1,0.4761904999999999,36.6343,2.0,400.0,2.4,0.51,400.0
A1,0.4988665,35.3648,2.0,400.0,2.4,0.51,400.0
A1,0.5215415,34.0707,2.0,400.0,2.4,0.51,400.0
A1,0.5442175,32.7706,2.0,400.0,2.4,0.51,400.0
A1,0.5668935,31.4782,2.0,400.0,2.4,0.51,400.0
A1,0.5895695000000001,30.204,2.0,400.0,2.4,0.51,400.0
A1,0.6122445,28.9554,2.0,400.0,2.4,0.51,400.0
A1,0.6349205,27.7378,2.0,400.0,2.4,0.51,400.0
A1,0.6575965,26.555,2.0,400.0,2.4,0.51,400.0
A1,0.6802725000000001,25.4094,2.0,400.0,2.4,0.51,400.0
A1,0.7029475000000001,24.3025,2.0,400.0,2.4,0.51,400.0
A1,0.7256235000000001,23.2349,2.0,400.0,2.4,0.51,400.0
A1,0.7482995000000001,22.207,2.0,400.0,2.4,0.51,400.0
A1,0.7709755,21.2184,2.0,400.0,2.4,0.51,400.0
A1,0.7936505,20.2685,2.0,400.0,2.4,0.51,400.0
A1,0.8163265000000001,19.3568,2.0,400.0,2.4,0.51,400.0
A1,0.8390025,18.4821,2.0,400.0,2.4,0.51,400.0
A1,0.8616775,17.6435,2.0,400.0,2.4,0.51,400.0
A1,0.8843535,16.8399,2.0,400.0,2.4,0.51,400.0
A1,0.9070295,16.07,2.0,400.0,2.4,0.51,400.0
A1,0.9297055000000001,15.3328,2.0,400.0,2.4,0.51,400.0
A1,0.9523805000000001,14.627,2.0,400.0,2.4,0.51,400.0
A1,0.9750585,13.9514,2.0,400.0,2.4,0.51,400.0
A1,0.9977285,13.3049,2.0,400.0,2.4,0.51,400.0
A1,1.0204085,12.6863,2.0,400.0,2.4,0.51,400.0
A1,1.0430884999999999,12.0946,2.0,400.0,2.4,0.51,400.0
A1,1.0657584999999998,11.5285,2.0,400.0,2.4,0.51,400.0
A1,1.0884384999999999,10.9871,2.0,400.0,2.4,0.51,400.0
A1,1.1111084999999998,10.4693,2.0,400.0,2.4,0.51,400.0
A1,1.1337884999999999,9.97421,2.0,400.0,2.4,0.51,400.0
