group,label,hardness,p,epsilon,tau0,velocity,log_file,nonfinite_output,Fmax_N,t_peak_s,peak_position_ratio,contact_span_s,contact_duration_s,half_max_duration_s,rise_time_s,fall_time_s,rise_fall_ratio,impulse_Ns,loading_impulse_fraction,unloading_impulse_fraction,force_centroid_ratio,sample_count,max_rise_slope,max_fall_slope,contact_event_count,error
reference_speed,original,40000.0,5.0,0.998,0.0006,0.5,000_reference_speed_original_v0.5.txt,False,10.1122,0.000566893,0.2705878812735141,0.0019274384999999998,0.0017233569999999998,0.000589569,0.0005215415,0.001405897,0.3709670765354788,0.007213064871677704,0.26210909451213105,0.7378909054878688,0.41101649548612057,86,46919.07386990077,-14897.905181918384,1,
reference_speed,original,40000.0,5.0,0.998,0.0006,1.0,001_reference_speed_original_v1.txt,False,23.6549,0.000340136,0.1566262691685327,0.0018820885,0.00165533,0.000453515,0.0002947845,0.001587304,0.18571395271479185,0.014546251175004299,0.17533382927395688,0.824666170726043,0.3357723926187233,84,188309.22561298276,-39461.962513781706,1,
reference_speed,original,40000.0,5.0,0.998,0.0006,2.0,002_reference_speed_original_v2.txt,False,53.4361,0.000204082,0.08641975980794217,0.0018367385,0.001541951,0.00038548799999999997,0.0001587305,0.0016780080000000001,0.09459460264790155,0.02916674090350245,0.11088121626451906,0.8891187837354809,0.2926529408589927,82,764288.2342564833,-98976.89186805447,1,
reference_speed,original,40000.0,5.0,0.998,0.0006,4.0,003_reference_speed_original_v4.txt,False,123.581,0.000113379,0.03750016882035503,0.0018140584999999999,0.0014739228,0.00029478400000000003,6.80275e-05,0.0017460309999999999,0.03896122119252179,0.0584195715802402,0.047226250982528285,0.9527737490174718,0.2665032092250537,81,3152583.55713725,-624873.2083792719,1,
reference_speed,original,40000.0,5.0,0.998,0.0006,6.0,004_reference_speed_original_v6.txt,False,,,,,,,,,,,,,,,,,,No valid force samples found.
reference_speed,renner_a1,400.0,2.4,0.51,0.0004,0.5,005_reference_speed_renner_a1_v0.5.txt,False,7.99509,0.000725624,0.3571437008943654,0.0019047584999999998,0.00179138,0.0009297019999999999,0.0006802725000000001,0.0012244859999999999,0.5555575972285515,0.008102378577947789,0.35524037347398507,0.6447596265260147,0.46373946950104483,85,20127.447521608738,-8147.772386413751,1,
reference_speed,renner_a1,400.0,2.4,0.51,0.0004,1.0,006_reference_speed_renner_a1_v1.txt,False,18.4883,0.000521542,0.25609783971623234,0.0018594084999999998,0.0017913809999999999,0.000748301,0.00047619049999999993,0.0013832179999999999,0.3442627987779222,0.015818496467163542,0.30001464945893924,0.6999853505410605,0.39196259441825426,83,65694.56694302356,-22137.943199858822,1,
reference_speed,renner_a1,400.0,2.4,0.51,0.0004,2.0,007_reference_speed_renner_a1_v2.txt,False,41.8041,0.000385488,0.1851850440332143,0.0018367385,0.0017460270999999999,0.0006122450000000001,0.0003401365,0.001496602,0.22727251466989887,0.030873636140435298,0.26208454594656033,0.7379154540534397,0.3380198298957212,82,211448.22720056432,-57333.74492855882,1,
reference_speed,renner_a1,400.0,2.4,0.51,0.0004,4.0,008_reference_speed_renner_a1_v4.txt,False,92.7472,0.000272109,0.12345660528159015,0.0018367385,0.0016553327999999999,0.0004988659999999999,0.00022675749999999996,0.0016099810000000001,0.14084482984581803,0.06069512096310049,0.20239169649021135,0.7976083035097886,0.2996125173422077,82,683722.160970231,-141898.92397248157,1,
reference_speed,renner_a1,400.0,2.4,0.51,0.0004,6.0,009_reference_speed_renner_a1_v6.txt,False,146.537,0.000226757,0.09999980706245142,0.0018140584999999999,0.0016099728,0.00045351499999999993,0.0001814055,0.001632653,0.11111087291665774,0.090254624957459,0.179431796500647,0.8205682034993528,0.2863152823722741,81,1349156.160009878,-236902.45193155747,1,
